prev	curr	type	n
Philosophy	World_War_II	external	1363
Main_Page	United_States	other	1543
Music	Mathematics	link	793
Science	Literature	external	1474
Religion	Literature	other	916
Main_Page	Main_Page	link	1225
other-external	Music	external	1099
Biology	Earth	link	1063
Philosophy	Music	external	514
other-empty	Main_Page	external	1245
Main_Page	Music	external	747
other-external	World_War_II	other	1119
Wikipedia	Physics	external	939
World_War_II	Wikipedia	other	519
other-search	Physics	link	1170
Music	Philosophy	link	1572
Music	Geography	external	1404
Sports	Chemistry	external	2318
History	Geography	external	542
other-search	Sports	external	2272
other-search	Music	other	1862
Technology	English_language	external	2513
Biology	Chemistry	link	1884
Art	Technology	other	1658
other-empty	Technology	link	1547
Physics	Geography	link	1901
Science	Music	other	1255
Main_Page	Religion	link	2210
Physics	Main_Page	link	1982
Literature	Biology	other	2104
Chemistry	Literature	other	1795
other-search	English_language	link	1400
Wikipedia	United_States	other	507
Literature	Technology	other	2784
other-empty	Art	external	1618
United_States	Religion	external	1281
Biology	Biology	link	1798
English_language	Biology	link	1646
Religion	History	link	1381
Philosophy	Religion	other	981
English_language	Wikipedia	other	704
Science	Geography	link	1861
Physics	Wikipedia	external	2235
Philosophy	World_War_II	other	1929
Sports	Main_Page	external	2215
Physics	History	external	1756
other-internal	Technology	link	1465
Main_Page	Music	link	1234
English_language	Philosophy	link	1910
United_States	Main_Page	other	2010
other-external	Main_Page	link	2035
Sports	Philosophy	link	2366
other-empty	Biology	link	1136
Mathematics	Technology	link	1026
other-search	Main_Page	link	2650
Physics	Chemistry	link	1067
History	History	link	642
Chemistry	United_States	other	1286
Chemistry	Mathematics	other	1161
Physics	Religion	link	2653
other-external	English_language	other	1023
Main_Page	Main_Page	link	1248
Main_Page	History	external	2192
Physics	History	other	1062
Chemistry	Geography	other	482
Sports	History	external	721
Technology	United_States	link	1835
other-external	Physics	external	1155
United_States	Main_Page	external	691
other-external	Sports	other	1128
other-external	World_War_II	external	1060
other-internal	World_War_II	link	2255
Chemistry	Wikipedia	external	2458
Geography	Wikipedia	link	1934
Earth	United_States	link	1356
Physics	Literature	other	584
English_language	Mathematics	other	1720
Art	Physics	other	907
Wikipedia	Science	other	2056
other-search	Wikipedia	external	1078
Main_Page	English_language	other	1632
Physics	Religion	link	774
History	Physics	link	838
Religion	Technology	external	2417
other-external	Sports	other	3568
Music	History	other	1912
Wikipedia	Mathematics	other	2198
Art	Chemistry	other	1394
Technology	Earth	link	898
Technology	Literature	other	1053
Philosophy	Art	external	1549
Chemistry	Mathematics	external	766
Sports	Chemistry	external	1943
Earth	Music	link	723
Sports	Physics	external	1556
Music	Religion	other	1762
Religion	Science	other	524
Science	Literature	other	685
Main_Page	Technology	external	1375
Art	Art	external	528
Philosophy	Main_Page	external	810
Music	Art	link	504
Technology	Art	other	1086
Biology	Literature	external	956
Music	Wikipedia	external	1359
Philosophy	Geography	other	1866
Art	Sports	link	2227
Biology	Wikipedia	other	679
other-search	Music	external	2087
other-external	Sports	external	1236
English_language	Geography	link	1028
Music	Sports	external	938
other-empty	Biology	external	2337
Earth	Earth	other	48
Geography	Literature	external	47
other-empty	Technology	link	63
other-external	Science	external	52
United_States	English_language	other	40
World_War_II	Chemistry	other	55
Sports	Wikipedia	link	53
other-external	Philosophy	other	54
other-empty	Music	link	52
Sports	World_War_II	link	54
United_States	Literature	external	44
Biology	World_War_II	other	47
Physics	Earth	external	45
Philosophy	Wikipedia	link	59
Physics	World_War_II	other	44
Physics	Physics	other	64
World_War_II	Wikipedia	link	50
Religion	Geography	other	63
English_language	Science	external	61
Geography	Music	other	57
Earth	Art	link	34
other-empty	United_States	external	41
Earth	Literature	other	43
World_War_II	Wikipedia	external	46
Biology	Art	external	60
Philosophy	Technology	link	48
Science	Mathematics	link	49
Literature	Art	other	55
other-empty	Chemistry	other	52
Chemistry	Chemistry	link	43
Philosophy	United_States	external	26
Geography	Sports	other	57
Art	History	external	56
Literature	Wikipedia	other	41
World_War_II	Science	external	42
other-search	History	other	57
English_language	Mathematics	link	52
other-internal	Art	link	47
Biology	Physics	other	47
Wikipedia	English_language	link	45
Physics	Earth	link	48
Philosophy	Physics	external	59
Earth	Literature	other	44
Physics	Physics	external	54
United_States	Biology	other	36
Literature	Literature	external	40
Physics	Religion	link	48
Chemistry	Art	other	52
other-external	World_War_II	external	52
World_War_II	World_War_II	link	61
Earth	Mathematics	link	43
Sports	Chemistry	link	48
History	Science	other	47
Science	Physics	external	58
other-internal	Philosophy	link	44
Music	Literature	external	52
Earth	Chemistry	other	52
Science	Physics	link	60
Earth	Philosophy	external	60
other-external	History	link	53
Wikipedia	Wikipedia	external	42
Geography	United_States	external	52
Wikipedia	Philosophy	other	48
other-search	Geography	external	57
Sports	Technology	external	48
World_War_II	Main_Page	link	53
Geography	Sports	other	48
Art	Biology	link	46
Chemistry	Main_Page	external	34
Art	Main_Page	other	46
Literature	Science	other	51
Physics	Philosophy	external	59
Biology	Wikipedia	other	53
Wikipedia	English_language	external	51
Art	History	other	43
Chemistry	History	external	41
Biology	United_States	other	46
Geography	Mathematics	external	51
other-external	Music	link	48
United_States	Earth	external	48
Mathematics	Science	external	43
other-internal	English_language	external	52
Technology	Mathematics	link	58
World_War_II	Music	external	51
other-search	United_States	link	43
Art	Earth	other	55
Mathematics	World_War_II	other	42
Sports	Art	other	63
Music	United_States	other	26
Music	Mathematics	link	47
other-empty	Religion	link	54
Geography	World_War_II	other	47
Main_Page	Geography	link	58
Main_Page	Geography	other	38
Physics	Mathematics	external	49
Music	World_War_II	external	49
United_States	Earth	external	51
other-empty	Sports	link	54
Science	Sports	external	44
World_War_II	Wikipedia	link	44
Philosophy	Art	external	52
History	United_States	external	43
Religion	Physics	other	54
United_States	History	external	54
Music	Earth	other	50
other-internal	Geography	link	54
Science	Biology	link	46
English_language	Main_Page	link	47
Main_Page	English_language	link	54
Sports	Chemistry	other	53
Geography	Mathematics	other	51
Literature	History	other	52
Physics	Music	link	47
Geography	Literature	other	42
History	Sports	external	45
Physics	United_States	other	48
Wikipedia	World_War_II	external	47
English_language	Technology	external	47
Wikipedia	History	link	50
Chemistry	Chemistry	external	41
Art	Earth	other	53
Chemistry	History	other	41
Physics	World_War_II	external	53
Literature	Chemistry	link	54
other-empty	Technology	external	60
History	Religion	external	46
Earth	Chemistry	other	56
Technology	Main_Page	other	43
Physics	Music	external	54
World_War_II	Art	other	37
other-internal	World_War_II	link	54
Religion	History	external	47
Literature	Main_Page	other	51
Literature	World_War_II	external	34
Music	Biology	link	43
Sports	Mathematics	link	52
Geography	Mathematics	other	56
Literature	Technology	link	66
Music	Art	other	53
History	Biology	external	62
Geography	Wikipedia	external	53
Chemistry	Wikipedia	external	34
English_language	Chemistry	other	50
History	Religion	other	60
Mathematics	English_language	external	43
Mathematics	Religion	other	54
Philosophy	Wikipedia	other	38
Mathematics	History	external	52
other-search	Art	other	57
Science	Technology	other	48
Religion	Chemistry	link	52
Philosophy	Chemistry	other	63
other-empty	Chemistry	link	61
other-empty	Biology	other	56
Technology	Mathematics	other	52
other-empty	Chemistry	link	37
other-search	United_States	other	52
Religion	Chemistry	external	57
Art	English_language	external	38
Science	History	other	45
other-internal	Art	external	49
English_language	Physics	other	48
Chemistry	Philosophy	link	30
Sports	Mathematics	external	50
Music	United_States	external	49
Religion	Art	link	49
Religion	Science	link	52
Technology	Technology	link	68
Sports	Mathematics	link	49
Religion	Music	external	40
Mathematics	Biology	external	45
other-internal	Mathematics	external	34
Sports	Main_Page	link	57
Science	Literature	link	45
other-empty	History	other	56
History	Chemistry	external	56
Literature	Religion	link	42
Mathematics	Chemistry	other	63
Music	Mathematics	link	43
Philosophy	United_States	external	44
Sports	Earth	other	53
Physics	Religion	external	57
Philosophy	Religion	other	46
other-internal	Physics	other	52
other-internal	Earth	link	44
Sports	Wikipedia	link	52
Music	English_language	link	43
Physics	English_language	other	57
Sports	United_States	external	49
other-search	World_War_II	other	50
other-internal	Biology	external	50
Biology	World_War_II	external	39
other-empty	United_States	link	34
Physics	Chemistry	other	52
Chemistry	Wikipedia	external	38
other-internal	Technology	link	37
Sports	Wikipedia	other	49
other-empty	Sports	link	57
Biology	Philosophy	link	41
United_States	Geography	other	64
other-search	Geography	external	59
Art	Technology	other	55
Technology	Art	other	70
Earth	Biology	other	45
other-search	Religion	external	50
other-search	Literature	link	48
other-internal	Sports	link	47
History	Wikipedia	link	50
Art	Wikipedia	external	52
other-search	Music	link	50
History	Sports	link	46
Religion	Physics	external	52
other-external	Mathematics	other	44
other-external	World_War_II	other	48
other-empty	Biology	other	50
Art	Sports	external	47
Music	English_language	external	51
History	Art	link	42
other-empty	History	other	43
Music	World_War_II	external	59
Philosophy	Main_Page	external	45
other-empty	Wikipedia	other	54
Sports	Main_Page	link	33
Art	Earth	other	48
Earth	English_language	external	49
Wikipedia	Music	link	41
other-external	English_language	external	46
Physics	English_language	link	56
Philosophy	Technology	link	62
other-internal	Music	external	51
Chemistry	Mathematics	link	57
Sports	Music	other	39
Chemistry	Main_Page	other	41
other-internal	History	link	58
Earth	Art	link	49
Earth	Sports	other	51
Earth	Earth	link	56
Wikipedia	Religion	other	45
Physics	Mathematics	other	61
Religion	Earth	other	56
Main_Page	Literature	other	39
other-search	Wikipedia	other	37
Physics	Sports	external	64
Physics	Earth	external	64
United_States	Mathematics	external	56
Music	Chemistry	external	47
Art	Geography	link	55
Main_Page	Philosophy	other	49
other-search	Religion	external	52
Geography	World_War_II	external	50
other-search	Sports	link	62
Biology	Earth	link	48
other-external	Science	external	47
Music	Mathematics	other	43
Religion	Wikipedia	external	42
Art	Music	external	47
Biology	Philosophy	other	52
World_War_II	Philosophy	external	45
United_States	Technology	external	54
Music	Wikipedia	external	48
Mathematics	World_War_II	link	52
Music	Mathematics	link	58
Art	Earth	other	51
English_language	Literature	other	53
other-search	Literature	link	50
Art	World_War_II	external	52
other-search	Literature	external	48
Technology	Science	external	51
History	World_War_II	other	50
United_States	Chemistry	external	53
Art	Main_Page	link	57
World_War_II	Physics	link	59
Geography	World_War_II	other	55
Art	World_War_II	external	42
Music	Philosophy	link	47
other-internal	United_States	other	62
other-external	Science	external	46
United_States	Literature	external	37
Music	Music	link	39
Philosophy	Philosophy	other	42
Biology	Physics	link	62
Music	World_War_II	link	68
Main_Page	Mathematics	link	42
other-internal	Biology	external	49
History	Music	link	42
Biology	Geography	other	47
other-empty	English_language	other	48
United_States	English_language	other	55
Main_Page	Sports	other	32
Philosophy	Religion	external	47
other-internal	Wikipedia	link	59
Physics	Sports	link	47
other-search	Mathematics	other	37
Wikipedia	World_War_II	external	54
Art	Sports	other	51
other-empty	History	link	46
Literature	Chemistry	link	52
Mathematics	History	other	49
Earth	Physics	link	45
other-search	Geography	external	55
Main_Page	Sports	external	45
Art	Geography	link	51
United_States	Physics	link	39
Philosophy	Geography	link	44
Art	Main_Page	link	40
other-empty	Geography	other	51
Art	World_War_II	link	48
other-external	Art	other	62
Music	Physics	external	61
Biology	Geography	link	51
other-empty	Geography	other	42
Biology	Literature	external	51
other-search	Science	external	39
Literature	Religion	link	42
Wikipedia	Mathematics	external	59
Main_Page	English_language	external	50
Chemistry	United_States	link	58
Physics	Mathematics	other	38
other-search	Technology	other	58
Science	Art	link	50
Philosophy	Technology	other	55
Philosophy	Technology	external	56
Physics	Science	other	42
other-search	Main_Page	other	53
Music	Main_Page	other	52
World_War_II	Earth	other	44
Chemistry	World_War_II	link	49
other-empty	Sports	other	47
Religion	Mathematics	external	57
Physics	Religion	external	52
Music	Physics	other	58
other-internal	Literature	other	45
Chemistry	Geography	external	63
United_States	Science	link	43
Main_Page	History	external	45
World_War_II	World_War_II	link	49
Literature	Philosophy	link	42
Mathematics	History	other	59
Religion	Chemistry	link	55
English_language	Chemistry	other	50
Biology	Sports	other	57
other-internal	Music	external	49
other-empty	English_language	external	53
Technology	World_War_II	other	44
Art	Physics	other	49
other-external	Art	external	57
Physics	Wikipedia	link	41
Geography	Physics	link	56
History	Wikipedia	other	44
other-empty	Wikipedia	other	43
Religion	Geography	other	49
Sports	Geography	other	55
History	Art	link	43
World_War_II	Physics	external	54
Literature	Geography	external	60
Main_Page	Literature	other	33
Music	Science	link	61
Geography	History	other	45
other-search	English_language	link	45
World_War_II	English_language	other	41
Religion	Art	link	56
United_States	History	link	42
Chemistry	Earth	external	51
World_War_II	Religion	other	60
History	Philosophy	other	47
Geography	United_States	external	60
other-empty	History	other	42
Biology	World_War_II	link	54
Biology	Wikipedia	other	55
World_War_II	World_War_II	other	46
other-empty	Physics	link	50
Wikipedia	Earth	other	50
Science	United_States	other	44
Sports	Science	other	69
Chemistry	Earth	link	44
History	Religion	link	65
Technology	Music	other	43
Main_Page	Biology	link	44
Main_Page	Art	link	51
Physics	Philosophy	external	41
Main_Page	Geography	external	57
Chemistry	Sports	other	33
Science	English_language	external	36
Wikipedia	United_States	external	45
Mathematics	Mathematics	link	49
Philosophy	Earth	other	63
other-external	Science	other	67
other-external	Earth	other	36
Earth	Physics	other	48
Physics	Biology	external	59
other-empty	Earth	link	52
other-search	Science	external	51
Music	Wikipedia	external	43
Philosophy	Chemistry	other	54
Mathematics	Science	other	52
Science	Mathematics	external	40
History	Literature	other	54
Wikipedia	Chemistry	link	40
Art	Technology	external	56
other-external	Biology	other	48
Chemistry	Physics	link	58
World_War_II	History	link	57
Wikipedia	Earth	external	47
Chemistry	Religion	link	50
other-internal	United_States	link	62
Technology	Art	link	49
English_language	United_States	link	39
Religion	Philosophy	other	47
English_language	History	other	55
History	Science	link	46
Literature	Technology	other	43
Science	Mathematics	external	52
Religion	Biology	link	48
other-search	United_States	other	60
Geography	Physics	other	40
Religion	Religion	external	56
Literature	Technology	other	52
Earth	Art	external	39
Art	Chemistry	link	52
Science	Philosophy	other	57
Art	Main_Page	link	50
other-empty	Music	other	47
Main_Page	Sports	link	60
Earth	Music	external	59
other-search	World_War_II	other	43
Main_Page	Main_Page	link	45
Science	Physics	link	69
other-internal	Main_Page	other	56
World_War_II	Chemistry	external	55
Physics	Philosophy	external	39
Mathematics	Chemistry	link	67
other-empty	Physics	link	54
World_War_II	Chemistry	link	48
History	Science	external	51
Science	Wikipedia	link	49
Wikipedia	Wikipedia	link	52
Physics	Physics	link	41
English_language	Main_Page	link	51
History	United_States	other	49
Biology	Physics	link	55
Earth	Religion	link	50
Physics	English_language	link	60
Art	Literature	external	57
United_States	Earth	external	43
Science	Religion	external	49
Geography	Geography	link	48
English_language	Sports	link	53
Geography	Religion	external	43
Art	Mathematics	other	59
Religion	Earth	external	48
History	Mathematics	other	59
other-search	Mathematics	other	50
Art	Wikipedia	external	52
other-empty	Chemistry	external	67
Art	Chemistry	other	63
other-external	Art	link	45
Chemistry	Biology	other	52
Literature	English_language	other	45
other-empty	Music	other	45
World_War_II	United_States	link	44
other-empty	United_States	external	44
English_language	Earth	external	51
Wikipedia	Sports	link	46
Geography	Geography	external	59
Biology	Technology	external	44
United_States	Art	other	54
United_States	Sports	external	49
Music	Religion	other	49
English_language	Geography	other	41
United_States	Philosophy	other	54
Chemistry	Earth	link	51
Science	Technology	link	48
Physics	History	external	51
English_language	Music	other	53
Geography	Religion	link	56
English_language	Music	other	48
Literature	Literature	external	57
Mathematics	Science	link	51
Chemistry	Chemistry	external	46
Literature	World_War_II	external	47
Technology	Geography	link	43
Philosophy	Art	other	54
Mathematics	Earth	other	53
Wikipedia	Science	link	49
Chemistry	History	other	43
Main_Page	Sports	other	40
other-external	Literature	link	38
History	Art	link	53
other-internal	Main_Page	link	49
English_language	Art	link	48
Art	Biology	other	53
other-internal	Physics	link	39
Art	Philosophy	link	58
Wikipedia	World_War_II	link	49
Geography	Chemistry	other	42
Sports	Physics	other	56
other-internal	Wikipedia	link	60
Wikipedia	Music	link	39
Wikipedia	Geography	other	57
Art	World_War_II	external	53
Geography	Main_Page	external	53
History	World_War_II	other	40
Biology	History	link	41
Mathematics	Wikipedia	other	46
Mathematics	Philosophy	link	59
Mathematics	Geography	external	50
Biology	Earth	link	56
Art	Wikipedia	other	58
Wikipedia	Art	other	47
Chemistry	Chemistry	link	49
Physics	Religion	other	35
Literature	Geography	external	53
World_War_II	Literature	link	54
History	Music	other	47
Literature	Chemistry	other	49
Sports	Philosophy	external	49
Religion	Religion	other	43
World_War_II	Technology	other	40
Art	United_States	external	55
United_States	Art	other	47
History	Sports	link	57
Sports	History	other	47
Mathematics	Mathematics	link	48
Religion	Literature	link	47
Physics	Wikipedia	link	58
Geography	Wikipedia	external	44
Religion	World_War_II	link	50
World_War_II	Physics	link	50
Literature	Technology	link	44
Religion	Earth	other	58
Art	Wikipedia	external	61
Mathematics	Main_Page	other	57
Technology	Technology	link	57
United_States	Religion	other	56
World_War_II	Science	other	51
World_War_II	Art	link	43
other-external	Science	link	45
Physics	Science	other	45
Religion	United_States	link	47
Technology	Literature	link	60
History	Science	other	52
Sports	Earth	link	59
Music	Mathematics	other	60
United_States	Philosophy	link	39
Physics	Religion	external	49
English_language	Chemistry	external	42
other-external	Main_Page	link	42
Physics	Wikipedia	link	34
other-external	Art	link	51
other-internal	Chemistry	link	51
Science	English_language	link	59
Mathematics	Main_Page	external	48
Geography	Literature	link	49
Mathematics	Art	link	51
Technology	Science	external	44
Main_Page	Biology	other	52
English_language	Earth	link	47
Science	Music	external	47
Biology	English_language	external	59
other-empty	United_States	other	55
Music	Religion	external	60
Philosophy	Geography	link	49
Geography	Literature	other	61
History	Technology	link	52
Earth	Sports	link	60
Chemistry	Technology	external	52
Geography	Science	external	54
Chemistry	Wikipedia	other	53
Technology	Technology	external	60
World_War_II	History	other	50
Literature	English_language	link	53
Wikipedia	United_States	link	40
Physics	Technology	external	61
Science	Literature	link	48
Philosophy	Mathematics	link	43
Religion	Mathematics	other	47
Music	Art	link	47
Mathematics	United_States	external	47
Wikipedia	Philosophy	external	49
other-internal	United_States	external	58
Sports	Mathematics	link	46
other-external	English_language	link	49
Philosophy	Science	other	44
World_War_II	World_War_II	external	56
Geography	Technology	external	61
Philosophy	Sports	external	47
Literature	Music	link	53
Biology	Art	link	42
English_language	Religion	external	38
World_War_II	Mathematics	link	42
Technology	Sports	link	44
Technology	Religion	other	56
Biology	World_War_II	external	57
Philosophy	Biology	link	49
other-search	Main_Page	external	62
other-external	Philosophy	link	54
Biology	Philosophy	link	50
Geography	Wikipedia	other	54
Wikipedia	Literature	other	68
Earth	Earth	other	48
Music	Religion	external	53
United_States	Chemistry	external	40
Science	Literature	other	54
Art	Philosophy	link	46
Religion	United_States	other	54
Literature	Mathematics	external	42
Science	Earth	link	46
Philosophy	Wikipedia	other	57
Literature	Science	other	56
Art	Chemistry	other	52
Wikipedia	Science	link	55
World_War_II	World_War_II	link	56
Art	Earth	link	58
Mathematics	Music	other	57
Earth	History	other	57
other-empty	Biology	external	48
Wikipedia	Biology	other	47
History	History	other	57
other-external	Philosophy	external	47
Music	Earth	external	62
United_States	History	link	50
English_language	Earth	link	44
Art	Sports	other	51
Main_Page	Physics	link	38
United_States	World_War_II	external	49
Religion	Biology	other	46
Technology	Geography	link	47
Philosophy	Chemistry	external	48
Geography	Science	other	49
Science	Mathematics	link	63
Physics	Main_Page	link	60
Physics	History	other	63
Religion	Technology	link	67
other-search	Science	link	36
Chemistry	Chemistry	external	41
Main_Page	Religion	link	53
Mathematics	Geography	other	47
Biology	Mathematics	external	54
English_language	Earth	other	50
Earth	Earth	other	44
Science	History	external	42
Earth	Wikipedia	other	46
Earth	Chemistry	external	47
Geography	United_States	other	52
Religion	World_War_II	other	51
Technology	Science	other	29
Technology	Wikipedia	link	49
Main_Page	Technology	external	54
Geography	Chemistry	link	52
Music	United_States	other	47
Philosophy	Literature	link	48
Music	Biology	link	55
Science	World_War_II	external	55
Sports	Technology	link	40
Biology	Geography	other	60
Religion	Technology	link	60
Philosophy	Music	other	53
Philosophy	Sports	link	51
Sports	Sports	external	52
Art	Art	link	43
World_War_II	History	link	37
United_States	Chemistry	other	54
Biology	Philosophy	link	53
Music	United_States	external	46
Philosophy	Main_Page	link	36
other-external	Geography	other	54
History	Chemistry	link	37
Technology	Science	link	47
Science	Technology	other	54
Music	Chemistry	other	47
Main_Page	Wikipedia	other	51
Sports	Sports	link	48
Sports	Earth	link	41
Main_Page	Physics	other	37
Art	Art	link	55
other-search	Biology	link	44
Music	Wikipedia	other	51
United_States	Main_Page	external	38
Earth	Technology	external	52
Physics	History	other	43
other-internal	Wikipedia	external	40
United_States	Art	link	46
other-external	Earth	other	44
Earth	Mathematics	external	56
Art	Wikipedia	other	60
Mathematics	Chemistry	link	44
Wikipedia	United_States	external	51
Religion	World_War_II	link	42
Physics	United_States	other	54
Literature	Main_Page	external	42
History	Chemistry	link	61
Geography	Music	external	47
Mathematics	Geography	other	55
English_language	Sports	external	52
Biology	Wikipedia	link	55
other-internal	Earth	link	56
United_States	Science	link	41
Music	English_language	external	53
Art	Music	link	47
United_States	English_language	link	45
Wikipedia	Physics	link	59
Physics	Sports	external	51
Science	Main_Page	other	45
Art	Mathematics	external	54
Religion	World_War_II	external	44
Religion	World_War_II	link	55
Mathematics	English_language	link	43
Science	Religion	link	53
other-empty	Science	external	41
History	Main_Page	link	53
Main_Page	Art	other	43
Physics	Mathematics	external	60
Technology	Earth	link	51
Sports	Wikipedia	link	56
Earth	Sports	other	63
Chemistry	Physics	link	60
World_War_II	Art	link	59
other-internal	Religion	other	43
other-internal	Art	link	38
Chemistry	English_language	other	59
Art	Music	external	56
Earth	Earth	other	41
Chemistry	World_War_II	link	51
Wikipedia	English_language	other	48
Art	Main_Page	other	58
other-internal	Physics	external	51
Literature	Sports	link	57
Literature	Earth	link	39
Music	Biology	external	55
Music	Geography	link	46
Wikipedia	Sports	other	58
Chemistry	Literature	other	54
Sports	Geography	external	47
Biology	Philosophy	external	59
other-search	Earth	external	55
Physics	Biology	link	46
United_States	Chemistry	other	54
Mathematics	Science	other	40
Wikipedia	World_War_II	external	56
Main_Page	Chemistry	other	58
other-external	Physics	external	63
Mathematics	Wikipedia	other	50
United_States	Art	external	56
Music	Literature	other	63
other-search	Physics	external	45
Religion	Geography	external	61
English_language	Science	external	52
other-empty	Literature	other	45
English_language	Religion	external	47
Wikipedia	History	link	50
Technology	English_language	link	47
Philosophy	Technology	other	47
World_War_II	Science	external	49
Religion	Religion	other	48
other-external	World_War_II	other	45
Religion	Music	link	45
History	Biology	external	53
History	English_language	external	48
Physics	Chemistry	other	63
Earth	Biology	external	34
Physics	English_language	other	54
Philosophy	Music	other	51
Geography	Geography	link	45
English_language	World_War_II	external	62
Sports	Literature	external	53
English_language	Chemistry	external	37
Religion	Physics	external	42
Religion	Religion	other	56
Earth	Technology	other	46
Physics	Sports	external	42
Art	Science	link	63
Biology	Music	external	56
History	Mathematics	link	41
English_language	Earth	link	59
other-search	Sports	other	53
World_War_II	United_States	link	52
Sports	Art	link	49
Philosophy	Technology	link	45
other-search	Philosophy	link	41
Technology	Earth	other	44
Sports	Philosophy	external	46
English_language	Biology	link	46
Philosophy	Geography	link	47
Wikipedia	Physics	other	53
Geography	World_War_II	other	48
Music	Geography	link	49
Mathematics	Chemistry	other	55
English_language	Physics	external	41
other-search	Science	link	51
other-empty	Literature	link	52
English_language	United_States	other	60
Physics	Geography	other	38
Religion	Physics	other	46
Wikipedia	Literature	other	45
Literature	Mathematics	external	48
Wikipedia	United_States	link	45
other-empty	Geography	link	54
World_War_II	United_States	other	64
Wikipedia	Technology	other	62
other-external	History	external	48
Biology	Philosophy	link	40
other-external	Main_Page	link	56
Technology	United_States	external	48
other-empty	English_language	other	49
Main_Page	Biology	link	46
Earth	World_War_II	other	57
Science	Physics	link	46
Music	Main_Page	external	49
Physics	History	link	59
Wikipedia	Earth	link	56
other-empty	Mathematics	link	41
Religion	United_States	link	46
other-external	Music	external	34
Mathematics	Biology	other	47
History	Physics	external	52
Literature	Religion	external	54
English_language	Sports	external	53
English_language	Geography	external	52
Main_Page	Philosophy	external	48
Literature	Sports	other	34
United_States	Literature	link	50
Earth	World_War_II	other	57
Sports	Art	link	46
Biology	Art	external	56
other-external	Wikipedia	link	49
