prev	curr	type	n
History	English_language	external	1584
Mathematics	Physics	other	1392
Mathematics	Technology	link	2292
Religion	Main_Page	other	1425
Literature	Geography	other	1810
History	Chemistry	other	2877
other-internal	Main_Page	external	613
Music	Music	external	1508
World_War_II	Music	link	1810
United_States	Science	link	1262
Biology	Main_Page	external	1777
other-internal	Earth	external	1846
Geography	Chemistry	external	655
Wikipedia	Wikipedia	other	713
Science	Geography	external	1999
other-external	History	external	1131
Music	English_language	other	2434
Geography	Literature	link	1559
Music	Technology	other	1451
other-internal	Geography	external	2142
English_language	Biology	external	2526
other-empty	Technology	external	1526
Religion	Chemistry	external	2201
Geography	Literature	other	1450
United_States	Main_Page	other	1931
Science	Physics	link	627
Physics	Biology	other	2593
Earth	Music	external	562
Physics	Main_Page	link	1499
Earth	Wikipedia	link	1583
Science	Chemistry	other	1175
Art	Wikipedia	other	1325
Chemistry	Physics	other	1102
Mathematics	United_States	other	1399
United_States	Philosophy	other	1995
Main_Page	Main_Page	external	1526
Philosophy	Wikipedia	link	3100
Sports	Religion	other	1151
Literature	English_language	link	795
Music	Sports	link	919
Earth	Main_Page	external	1214
History	Sports	other	2497
Sports	Science	other	1739
Wikipedia	World_War_II	external	1989
Literature	History	external	1434
Geography	Sports	link	1256
World_War_II	Wikipedia	external	1166
English_language	Religion	external	1066
Wikipedia	Art	external	570
Literature	Physics	other	1728
other-external	Mathematics	link	473
Earth	Biology	other	1790
Philosophy	Art	link	595
Wikipedia	Physics	link	778
Philosophy	Science	link	1552
World_War_II	Chemistry	link	1752
Science	Technology	other	1690
Main_Page	Wikipedia	external	1440
Main_Page	English_language	link	1031
other-internal	United_States	other	1891
other-empty	Literature	other	2586
Biology	United_States	external	1363
Technology	Philosophy	other	1303
other-external	History	external	1560
Music	Wikipedia	other	2322
Technology	Biology	other	1958
Religion	History	link	1269
English_language	Philosophy	link	2010
other-empty	Chemistry	link	772
Physics	Mathematics	external	803
other-search	Mathematics	link	1162
Art	Earth	link	1589
Sports	Mathematics	other	2004
Music	Sports	other	1331
Literature	Religion	link	1898
History	History	other	2133
Main_Page	Geography	other	1066
World_War_II	Wikipedia	other	1043
Music	Wikipedia	other	2165
other-empty	Wikipedia	other	1137
World_War_II	English_language	external	734
other-external	Music	external	2153
Chemistry	Sports	other	569
Physics	Wikipedia	link	1218
History	History	external	1992
Earth	Religion	external	1802
History	Music	other	1034
other-search	Physics	link	756
Wikipedia	Philosophy	other	1170
Mathematics	Art	link	1784
Physics	Chemistry	link	1281
Science	Literature	external	2333
Philosophy	Wikipedia	external	613
Religion	Biology	link	2063
Art	Science	external	3045
other-internal	Technology	external	2174
other-empty	Philosophy	other	704
Art	English_language	link	1235
Biology	Geography	other	556
English_language	Philosophy	external	943
Wikipedia	Geography	other	1975
Music	Technology	external	1279
other-external	English_language	link	627
English_language	United_States	external	1488
History	United_States	other	1440
Literature	Physics	link	1562
Earth	Physics	link	683
Literature	Biology	external	2565
Mathematics	World_War_II	link	1096
Physics	Main_Page	external	2253
United_States	Technology	other	1050
Religion	Science	other	2168
World_War_II	Mathematics	other	1251
Biology	Wikipedia	other	2189
Music	Geography	other	2125
Chemistry	Mathematics	other	1079
other-external	English_language	link	769
Physics	Wikipedia	external	1443
other-internal	Religion	link	1657
United_States	Chemistry	external	866
Physics	English_language	external	937
English_language	English_language	link	510
Music	United_States	link	1817
Mathematics	Biology	link	852
Biology	History	link	2147
Main_Page	English_language	external	1263
Geography	English_language	link	744
Geography	Mathematics	other	2410
other-search	English_language	other	2959
Science	Music	link	1284
Technology	Mathematics	other	1318
Sports	Chemistry	other	1903
Physics	Biology	other	3168
Main_Page	Biology	other	1255
History	Chemistry	external	941
History	Science	link	383
English_language	Art	other	1278
Chemistry	Literature	other	575
Main_Page	English_language	other	777
Geography	Physics	external	2484
other-search	Geography	external	1315
English_language	Music	other	2100
United_States	Geography	other	2477
World_War_II	Wikipedia	other	2457
other-internal	World_War_II	other	2204
other-external	Chemistry	other	1679
Geography	Geography	external	2188
Physics	History	other	994
Philosophy	Biology	external	421
other-empty	Sports	external	2964
Geography	Chemistry	link	2394
other-search	History	other	1973
Biology	History	external	2210
Geography	Religion	link	1322
Philosophy	United_States	other	1745
Main_Page	Art	other	1642
other-empty	Physics	other	2866
United_States	Main_Page	other	2275
Technology	Geography	other	1284
Chemistry	Science	external	641
Religion	United_States	link	721
Physics	United_States	external	2157
Religion	Art	external	590
Geography	Wikipedia	other	821
Sports	Sports	link	2227
Wikipedia	History	link	2112
other-internal	English_language	external	545
Sports	Geography	external	2019
Philosophy	Wikipedia	link	1595
other-internal	Music	other	498
World_War_II	Physics	external	2086
Literature	Chemistry	link	776
Literature	Chemistry	link	813
Earth	Wikipedia	other	1098
Earth	Mathematics	external	653
Religion	Art	other	972
Earth	Main_Page	link	915
History	Mathematics	external	1620
Earth	Main_Page	other	1067
English_language	History	link	1308
Art	Biology	link	1424
Chemistry	Mathematics	external	1558
Biology	Biology	other	1114
Philosophy	Earth	link	1092
other-internal	Mathematics	other	459
Literature	Music	external	730
other-search	Physics	external	1787
other-external	Biology	other	2147
Science	World_War_II	link	765
Sports	United_States	other	809
Wikipedia	Philosophy	other	2026
English_language	Mathematics	link	1852
Biology	Biology	link	1872
other-empty	Mathematics	link	580
Wikipedia	History	link	2337
other-external	Wikipedia	link	1952
Art	History	external	1352
other-external	Art	link	1207
Technology	Wikipedia	other	1931
English_language	Philosophy	external	1153
Main_Page	Earth	other	2143
Mathematics	Religion	external	2476
Technology	Art	other	1513
United_States	Geography	other	714
Literature	Music	external	1697
Chemistry	Earth	external	1950
Science	Chemistry	other	598
Sports	Wikipedia	external	1668
Music	Art	external	1182
Religion	Literature	other	1013
Music	United_States	link	2124
Biology	Geography	external	2694
History	World_War_II	other	840
Philosophy	Main_Page	link	1497
Biology	Religion	link	1357
other-external	History	external	2184
Sports	Art	link	2290
Music	Religion	external	1178
World_War_II	Music	link	1213
Religion	Mathematics	other	1302
Biology	Wikipedia	external	931
Mathematics	History	link	1159
other-internal	Technology	link	1465
Religion	Technology	other	761
Literature	Philosophy	other	1431
Sports	Technology	link	2512
Mathematics	United_States	link	1282
History	Chemistry	external	1118
Physics	Literature	link	794
Earth	Music	link	950
Art	English_language	external	1931
Chemistry	Main_Page	link	2073
Art	United_States	link	453
other-search	Chemistry	other	2119
Music	Technology	external	966
other-search	Music	other	698
other-empty	Philosophy	other	1994
Chemistry	Art	link	2640
Religion	United_States	other	598
English_language	Music	external	757
Literature	Physics	external	2028
World_War_II	Philosophy	external	2364
Religion	Science	external	880
Philosophy	Earth	external	2416
Art	Literature	external	1741
Mathematics	Chemistry	link	1682
Art	Mathematics	other	2108
Mathematics	Music	other	1706
other-external	English_language	link	622
Mathematics	Technology	other	867
other-internal	Science	external	1303
Main_Page	Physics	other	1961
Mathematics	Technology	external	1122
Technology	Science	other	1647
Technology	Wikipedia	link	2171
Religion	Earth	other	2185
Science	Wikipedia	external	787
Physics	Technology	other	1324
Physics	Earth	link	1127
other-external	Philosophy	link	1345
Music	Earth	external	2981
Music	United_States	external	938
Technology	Main_Page	link	2033
Mathematics	Chemistry	external	908
History	Main_Page	external	2575
Music	Art	other	2078
Earth	Technology	link	1537
Chemistry	Mathematics	other	1821
Literature	Biology	external	555
Technology	Religion	other	1709
other-search	Art	other	2144
Physics	Music	external	1001
Technology	Science	external	970
Science	Religion	link	2162
Art	History	link	771
United_States	World_War_II	other	772
Technology	History	external	1813
other-internal	Literature	external	1803
Biology	Literature	link	1139
English_language	Literature	link	685
Technology	United_States	link	2436
Chemistry	Science	external	2285
Art	Music	link	2368
Literature	Science	other	1821
Music	English_language	external	1629
Wikipedia	Chemistry	link	956
Chemistry	World_War_II	link	1629
Art	Sports	other	1950
other-search	Wikipedia	link	1221
Technology	Literature	other	2205
Technology	Chemistry	other	1520
Technology	Philosophy	external	886
Technology	Biology	other	609
Philosophy	Biology	link	1407
Biology	History	other	716
other-external	United_States	external	806
Literature	Chemistry	external	2118
Sports	United_States	external	2309
English_language	Technology	link	914
Chemistry	Literature	other	1726
Technology	Earth	external	1214
Literature	Sports	link	1055
Philosophy	Science	link	862
History	Art	other	2521
English_language	Geography	link	1266
Art	Main_Page	link	1410
Geography	Mathematics	external	709
Mathematics	Religion	other	1430
other-empty	Wikipedia	other	2358
Literature	Physics	external	1775
Religion	Mathematics	link	1364
Music	Religion	external	1156
Physics	Chemistry	external	1398
Physics	English_language	other	1697
other-search	English_language	external	545
Science	Literature	other	1224
Religion	Science	external	1149
Earth	Geography	other	923
World_War_II	World_War_II	link	524
other-search	Geography	link	714
Earth	Main_Page	other	962
Sports	Wikipedia	other	2143
Chemistry	Science	external	1229
Art	Literature	other	1825
World_War_II	Science	other	584
other-empty	Geography	link	1467
Wikipedia	Biology	link	1588
other-internal	History	other	1190
other-search	Physics	other	2094
Physics	Main_Page	link	1135
other-external	Technology	external	485
other-internal	Technology	other	2688
Technology	Main_Page	other	1392
Wikipedia	Art	link	1538
other-external	Philosophy	external	1092
Main_Page	Geography	external	660
Main_Page	World_War_II	link	2596
Biology	Geography	other	1166
Physics	Chemistry	link	2642
other-internal	Main_Page	other	994
Wikipedia	Religion	link	2693
Biology	Chemistry	external	1501
Main_Page	Music	external	1424
other-internal	Literature	link	1642
Science	History	external	1286
Technology	Wikipedia	external	1009
Technology	Physics	external	669
Chemistry	Philosophy	external	384
Chemistry	Main_Page	other	618
other-search	Sports	external	1451
Philosophy	Physics	link	1818
Art	Physics	external	650
Music	Biology	link	2271
World_War_II	History	other	1175
other-external	History	other	580
other-internal	Physics	other	1785
Biology	Sports	link	690
Sports	Main_Page	link	732
English_language	Main_Page	link	787
other-search	Biology	external	2976
Technology	Art	other	2312
Art	Science	other	649
History	Biology	external	2470
Music	Wikipedia	external	742
Biology	Mathematics	external	1579
Main_Page	Biology	external	1783
History	Chemistry	link	1660
Mathematics	United_States	other	1754
Philosophy	English_language	link	791
Art	Technology	external	2130
Music	Main_Page	link	2494
History	English_language	other	1691
Chemistry	Wikipedia	link	1524
History	World_War_II	other	2702
Art	Science	other	544
Mathematics	Chemistry	other	952
World_War_II	Religion	other	1730
Wikipedia	Technology	other	1672
Physics	Physics	other	1274
Geography	Music	other	1305
Music	Technology	external	1354
other-external	Physics	external	1735
Philosophy	Science	external	1472
other-search	Art	other	2212
Science	Earth	link	2757
English_language	Main_Page	other	1481
Main_Page	Science	external	2234
Geography	Religion	external	1925
Biology	Science	external	771
other-external	Mathematics	other	1336
Religion	History	link	693
Science	Philosophy	link	2098
Science	History	other	806
English_language	Physics	link	1327
English_language	Main_Page	external	1722
Geography	United_States	external	923
Religion	Mathematics	other	1008
Geography	Geography	external	773
other-external	Physics	link	1637
Technology	Earth	external	1966
Sports	English_language	link	1892
World_War_II	Sports	link	2022
Biology	Literature	other	1301
World_War_II	Wikipedia	other	2128
Chemistry	World_War_II	external	745
Geography	Geography	link	1000
History	Science	link	1770
Biology	Philosophy	link	1464
Physics	Music	other	555
Earth	Biology	other	1423
Sports	Science	external	1951
History	Science	other	1798
Literature	Earth	other	2402
History	Religion	external	3683
Religion	Chemistry	other	1251
History	Chemistry	external	1655
English_language	Sports	external	1681
Mathematics	Sports	link	2846
United_States	Main_Page	other	1137
Physics	Religion	other	2083
English_language	Earth	link	2095
Technology	History	link	2519
other-internal	Physics	link	611
Religion	Main_Page	external	1804
Main_Page	Earth	link	1063
Main_Page	Science	link	2063
United_States	Physics	other	51
Art	Literature	link	52
United_States	Earth	other	47
Philosophy	Science	external	56
Philosophy	Music	external	57
Wikipedia	Art	external	51
Physics	Art	link	48
Physics	Main_Page	link	57
Earth	Science	external	66
other-empty	History	link	48
Chemistry	Wikipedia	other	33
Philosophy	History	other	52
Literature	Geography	link	45
other-empty	English_language	external	51
World_War_II	Mathematics	link	49
World_War_II	English_language	link	46
Technology	Chemistry	external	44
Geography	Music	link	56
Religion	Physics	other	50
History	Chemistry	external	57
Philosophy	Earth	link	49
Technology	Main_Page	link	61
Main_Page	Technology	external	47
Religion	Sports	other	45
Wikipedia	Music	external	60
Mathematics	Mathematics	link	46
Main_Page	Art	external	55
Wikipedia	Music	link	47
Chemistry	Technology	external	63
English_language	Wikipedia	other	63
other-internal	Philosophy	other	59
Religion	English_language	external	52
Physics	Sports	link	47
Main_Page	Physics	link	48
Biology	Science	link	69
Mathematics	Sports	link	48
Sports	Geography	link	41
other-internal	English_language	link	57
English_language	Chemistry	external	54
Philosophy	Religion	link	70
other-external	Literature	link	51
Biology	Wikipedia	external	39
other-external	Chemistry	link	52
Art	Religion	link	44
other-external	World_War_II	other	53
History	United_States	external	52
English_language	Physics	external	50
other-internal	Science	external	56
other-search	Main_Page	other	64
other-internal	United_States	external	45
Sports	Philosophy	external	55
Sports	History	link	48
Philosophy	Mathematics	other	53
other-internal	Music	external	52
Geography	Literature	link	57
World_War_II	Chemistry	link	39
other-empty	Science	external	52
Music	History	external	35
Technology	Wikipedia	other	47
other-empty	Earth	other	47
Earth	Geography	link	58
Technology	Music	external	50
Technology	Wikipedia	link	60
Science	Physics	external	45
Main_Page	Earth	other	47
Earth	Art	link	40
Music	English_language	link	43
Science	Science	external	38
other-empty	Art	external	46
Literature	Main_Page	other	48
Sports	Technology	other	52
other-search	Science	other	55
United_States	Sports	link	37
other-search	Wikipedia	external	53
Philosophy	History	link	46
English_language	Literature	link	53
Philosophy	Main_Page	link	43
Philosophy	Music	other	51
Philosophy	Religion	other	61
Wikipedia	Chemistry	link	62
other-external	Geography	external	52
History	World_War_II	link	56
Main_Page	Physics	other	38
Earth	English_language	external	57
History	Philosophy	other	45
Art	Technology	other	41
Mathematics	Physics	other	49
Biology	History	other	46
Art	Geography	external	40
Technology	Technology	external	29
Music	World_War_II	other	43
History	Art	external	60
Philosophy	Sports	other	44
Physics	Chemistry	link	47
other-empty	Literature	link	52
Art	Literature	link	46
Chemistry	Music	link	50
World_War_II	Science	link	66
Sports	Art	link	59
Music	Wikipedia	external	51
Literature	Literature	other	64
History	Music	external	59
Literature	United_States	other	57
Earth	Religion	other	47
Music	Sports	link	48
Philosophy	Geography	other	56
Art	Main_Page	link	50
History	Wikipedia	other	45
other-empty	Art	link	54
Philosophy	Philosophy	other	52
other-internal	Science	other	42
Chemistry	Literature	other	45
Music	Music	link	47
Music	Earth	other	53
Science	Mathematics	external	63
Philosophy	Science	other	54
Art	Technology	external	48
other-search	Sports	external	50
other-external	Science	other	43
Sports	Music	link	53
World_War_II	History	external	47
Religion	History	external	49
Earth	Geography	link	48
United_States	Main_Page	other	37
Science	Literature	link	54
Wikipedia	History	other	59
Mathematics	World_War_II	other	58
other-external	Technology	other	49
Physics	Art	external	48
Science	Main_Page	other	51
Physics	Main_Page	link	55
Religion	Earth	external	46
Geography	English_language	external	39
Technology	Wikipedia	external	55
United_States	Philosophy	external	45
World_War_II	Physics	external	64
Earth	Art	other	48
Geography	Sports	link	47
Biology	Main_Page	link	52
other-search	United_States	external	51
Chemistry	Art	external	41
Biology	Music	other	48
Chemistry	Physics	link	42
Literature	Sports	external	45
Wikipedia	United_States	other	49
Music	Main_Page	external	60
Science	History	link	63
Mathematics	United_States	other	42
Science	Literature	link	51
World_War_II	Sports	link	56
World_War_II	Technology	link	58
other-search	Biology	external	52
other-empty	History	external	39
Mathematics	Philosophy	link	54
Technology	Sports	other	55
Sports	English_language	external	51
Science	English_language	external	45
Music	Sports	other	62
Philosophy	Religion	other	59
Music	Biology	other	51
Music	Music	external	55
other-internal	Religion	link	41
Main_Page	Technology	link	49
Mathematics	Philosophy	external	41
other-internal	Technology	link	46
Chemistry	Geography	other	41
History	Physics	link	48
Earth	Wikipedia	link	43
Sports	Geography	other	46
other-empty	Physics	link	55
Religion	Art	link	43
Earth	Geography	external	62
Philosophy	Philosophy	other	52
Music	Art	external	41
other-empty	Sports	external	51
other-external	Biology	other	50
Literature	Physics	link	59
other-internal	Wikipedia	link	43
Physics	Philosophy	external	56
Literature	United_States	external	51
History	Music	other	39
Science	Art	external	52
History	Earth	other	53
other-search	Wikipedia	link	38
United_States	Science	external	40
Earth	Literature	other	47
Geography	Religion	external	42
Art	Religion	link	56
Earth	Sports	external	48
Literature	History	other	49
Wikipedia	Philosophy	link	43
other-search	Chemistry	other	45
Chemistry	Wikipedia	link	43
other-internal	Science	other	44
Science	Literature	other	55
other-search	Main_Page	other	58
Main_Page	Art	link	48
Art	Sports	external	50
English_language	Sports	other	50
other-search	English_language	link	55
Art	Literature	external	48
Sports	Technology	link	50
other-empty	Literature	link	45
Technology	History	external	45
English_language	Technology	other	45
other-empty	Geography	other	37
Philosophy	United_States	other	52
History	Literature	other	60
other-empty	Main_Page	external	66
Philosophy	Music	other	54
Mathematics	Sports	link	51
English_language	English_language	other	51
Physics	Science	other	43
Physics	Biology	external	48
Science	Science	other	58
other-external	United_States	link	43
World_War_II	Technology	link	50
Wikipedia	Sports	external	51
Main_Page	Philosophy	external	52
other-search	United_States	other	48
Mathematics	Mathematics	link	51
Religion	Mathematics	external	60
Chemistry	History	external	45
World_War_II	Science	other	47
Religion	Wikipedia	other	46
World_War_II	Mathematics	other	41
Physics	Biology	other	44
Main_Page	Science	external	54
Wikipedia	Literature	link	43
Geography	Technology	other	56
Geography	Music	link	58
World_War_II	Earth	link	44
English_language	Art	external	45
English_language	Main_Page	other	52
Music	Religion	external	47
other-search	History	other	53
Philosophy	History	external	36
United_States	Geography	other	46
Technology	Technology	link	43
other-search	Physics	external	48
Technology	United_States	other	42
Sports	Philosophy	link	36
Main_Page	Wikipedia	external	45
Mathematics	Geography	other	40
Art	Literature	link	39
Religion	Technology	link	38
World_War_II	English_language	link	53
Literature	Geography	external	44
Technology	Mathematics	external	55
Philosophy	Philosophy	other	58
other-external	Biology	other	43
other-empty	Mathematics	external	50
Physics	Science	external	53
Philosophy	Sports	other	59
Mathematics	World_War_II	external	55
Religion	United_States	external	53
Literature	World_War_II	other	46
Earth	Religion	other	43
Wikipedia	Biology	link	54
other-external	Science	link	52
Religion	Mathematics	link	55
Earth	Art	other	54
Main_Page	Philosophy	external	60
Earth	United_States	external	51
Literature	Earth	other	56
Wikipedia	Mathematics	external	48
History	Mathematics	other	55
History	Music	external	53
Religion	Earth	link	57
Art	Physics	link	59
Physics	English_language	other	68
English_language	Religion	other	49
Religion	United_States	external	52
Wikipedia	History	other	34
other-external	Religion	external	64
Music	Literature	external	60
Earth	Geography	link	60
other-internal	Chemistry	link	35
other-search	Technology	external	42
Music	Philosophy	link	46
Philosophy	Earth	external	57
other-search	Philosophy	other	68
Art	Literature	other	56
Art	United_States	other	56
Geography	Philosophy	other	46
English_language	Chemistry	link	49
Science	Geography	external	48
other-internal	Physics	external	53
other-internal	Sports	external	42
United_States	Technology	external	49
United_States	Physics	external	52
Technology	World_War_II	other	51
Physics	Chemistry	external	47
Religion	Main_Page	link	45
Geography	Biology	other	54
Physics	Earth	external	52
Geography	Biology	external	38
Wikipedia	Technology	external	49
Biology	English_language	other	44
other-external	Chemistry	other	61
other-search	History	link	56
Mathematics	Music	other	36
Chemistry	Chemistry	external	51
Religion	English_language	link	54
Science	Chemistry	other	44
Sports	Main_Page	link	48
other-empty	Main_Page	other	38
Religion	English_language	link	47
Physics	Religion	link	45
Religion	Sports	other	42
World_War_II	Music	other	49
English_language	United_States	other	50
Earth	Technology	external	45
other-external	Music	external	52
other-internal	Chemistry	other	53
Science	Chemistry	external	40
English_language	Philosophy	external	61
United_States	Physics	external	50
Religion	Geography	link	46
other-internal	English_language	link	51
Chemistry	Earth	other	37
Earth	Chemistry	link	53
Technology	Literature	other	54
World_War_II	Chemistry	link	48
Philosophy	Chemistry	link	38
other-search	English_language	link	49
Science	Religion	link	47
other-internal	Science	other	54
Music	English_language	other	44
Music	Main_Page	link	56
other-search	Wikipedia	other	60
other-internal	Earth	link	48
Chemistry	Biology	link	47
Technology	Biology	external	52
Literature	Main_Page	link	49
Literature	Science	external	54
other-external	Science	link	41
Music	History	link	50
Philosophy	Wikipedia	other	46
English_language	Music	other	57
Philosophy	Chemistry	other	54
Mathematics	Wikipedia	other	51
Geography	English_language	other	47
History	Main_Page	link	51
Chemistry	Wikipedia	external	46
other-empty	Geography	link	59
Main_Page	History	external	52
Physics	Literature	other	54
United_States	Philosophy	external	53
Literature	History	other	52
other-empty	Physics	other	54
History	History	link	44
Art	Sports	link	64
Physics	Music	external	59
Philosophy	Technology	other	60
Biology	Literature	link	46
Philosophy	Earth	link	63
Biology	Biology	link	46
Religion	Chemistry	other	55
Religion	Technology	other	45
Mathematics	Philosophy	external	51
United_States	Philosophy	link	49
other-search	Mathematics	link	57
Religion	World_War_II	other	58
Main_Page	History	external	48
Main_Page	Biology	other	47
Art	Literature	link	51
Earth	Geography	link	32
other-search	English_language	link	42
other-internal	Music	other	38
Biology	Main_Page	link	55
Science	Technology	other	58
Mathematics	United_States	other	44
Main_Page	Physics	external	47
other-search	Science	link	45
Biology	Biology	link	52
Philosophy	Art	link	47
Music	Science	other	61
Sports	History	other	54
other-search	History	external	46
Art	Sports	link	45
Chemistry	Mathematics	other	56
Physics	Religion	other	55
Physics	Technology	external	54
Sports	Technology	other	52
other-external	United_States	other	44
Philosophy	Earth	link	50
Wikipedia	Mathematics	external	60
United_States	Science	external	59
Music	Science	other	45
History	Science	external	45
World_War_II	United_States	external	43
Geography	Earth	external	45
Main_Page	English_language	other	49
Philosophy	United_States	link	54
other-empty	World_War_II	other	47
Mathematics	Earth	link	60
Earth	History	external	47
Philosophy	Biology	link	59
Main_Page	Physics	link	46
other-search	Literature	link	47
Chemistry	Literature	link	46
History	Physics	external	59
Religion	Physics	external	46
Literature	Mathematics	link	45
Religion	Main_Page	external	48
other-search	Biology	other	72
Geography	Art	other	51
other-internal	Biology	other	46
Music	Mathematics	other	47
Geography	Sports	other	51
other-empty	Music	external	49
Literature	Religion	external	38
Religion	Physics	link	45
Philosophy	World_War_II	other	55
Religion	Philosophy	external	50
Geography	Mathematics	link	59
Science	English_language	other	54
Mathematics	World_War_II	link	59
other-search	Biology	other	40
Technology	Physics	external	54
Music	Science	link	54
Philosophy	Religion	other	45
Science	English_language	external	46
Biology	Technology	link	44
Physics	Art	other	49
Physics	Philosophy	link	52
United_States	Main_Page	link	50
English_language	Earth	link	55
English_language	Art	link	53
Wikipedia	Geography	link	55
English_language	English_language	link	47
Main_Page	Earth	other	46
Art	Main_Page	other	58
Philosophy	Sports	other	56
English_language	Technology	other	49
Biology	History	other	51
Art	Chemistry	other	46
Art	Wikipedia	external	41
Religion	Literature	other	54
Art	Sports	other	54
History	United_States	external	43
other-search	Music	other	48
Physics	Philosophy	other	48
other-internal	Literature	link	58
World_War_II	Biology	link	54
Mathematics	Mathematics	external	55
Music	History	external	59
Physics	Biology	external	62
Geography	History	other	54
Science	Music	other	56
History	Main_Page	other	44
Main_Page	Technology	external	49
United_States	Physics	link	51
Technology	Wikipedia	external	51
Wikipedia	Technology	link	60
other-internal	History	other	51
Art	History	external	45
Geography	Literature	external	53
Physics	Main_Page	other	54
other-internal	Chemistry	other	61
Science	English_language	link	67
other-internal	Art	link	52
History	Main_Page	link	60
Earth	Philosophy	other	62
Science	Mathematics	other	46
Technology	Mathematics	external	46
Physics	Wikipedia	link	50
Technology	History	external	43
Main_Page	Biology	other	41
other-internal	English_language	external	45
Wikipedia	Literature	other	47
Mathematics	Technology	link	46
Literature	United_States	external	55
Wikipedia	Geography	external	54
English_language	Main_Page	external	50
Philosophy	Literature	link	50
Mathematics	Philosophy	external	47
other-internal	United_States	other	41
other-external	Geography	other	51
United_States	Chemistry	other	49
Sports	World_War_II	link	63
Music	Earth	external	44
Philosophy	Music	other	48
Science	World_War_II	other	47
Geography	English_language	other	57
United_States	Religion	external	50
Art	Mathematics	other	61
Sports	Chemistry	external	63
Philosophy	World_War_II	other	50
other-internal	Literature	external	47
Wikipedia	Technology	link	43
Literature	Biology	link	60
other-empty	History	link	33
Sports	Earth	other	51
Earth	Philosophy	other	53
Sports	Earth	other	46
Mathematics	Earth	link	48
Music	Religion	link	52
Art	Sports	link	45
Music	Science	external	58
Chemistry	Biology	external	38
Art	Biology	link	52
Philosophy	Chemistry	other	47
other-internal	Biology	external	53
Wikipedia	Main_Page	external	55
Main_Page	Religion	link	43
other-external	Literature	other	60
Chemistry	Earth	link	48
Wikipedia	English_language	link	64
other-external	Technology	link	58
Literature	Sports	external	44
Mathematics	World_War_II	external	59
Biology	World_War_II	other	46
other-empty	Mathematics	external	46
Wikipedia	Physics	link	45
Wikipedia	United_States	other	51
Biology	Geography	link	43
Art	Chemistry	external	47
Literature	Religion	external	49
Religion	Wikipedia	external	57
Mathematics	Mathematics	other	33
other-search	Science	external	49
other-internal	Chemistry	link	48
Biology	Science	other	59
Science	History	other	51
Physics	World_War_II	other	52
Earth	Sports	other	48
other-empty	Earth	link	52
History	Physics	external	48
Sports	Mathematics	other	41
other-empty	Physics	external	56
Religion	Technology	external	54
other-external	Biology	other	49
Chemistry	Philosophy	other	57
other-internal	Sports	external	59
World_War_II	Earth	link	41
other-empty	Art	other	58
other-empty	Philosophy	link	52
Music	Sports	link	49
Sports	Main_Page	external	47
Religion	Philosophy	other	40
Earth	Geography	other	43
Wikipedia	Philosophy	external	48
Religion	Sports	other	45
Mathematics	English_language	link	55
United_States	Biology	other	57
Mathematics	Sports	other	47
History	Physics	other	41
Music	Religion	external	46
Science	Music	external	43
Technology	English_language	other	45
Chemistry	Main_Page	other	42
Sports	Philosophy	external	44
Religion	Music	external	52
Physics	Mathematics	other	40
Philosophy	World_War_II	external	60
Chemistry	Technology	external	62
other-internal	Wikipedia	link	45
Music	English_language	external	40
Biology	Geography	other	54
English_language	Main_Page	link	42
Technology	Science	other	53
