prev	curr	type	n
Chemistry	Art	other	2361
Science	Sports	other	1994
other-internal	English_language	external	1587
Mathematics	World_War_II	other	1752
Technology	United_States	link	1270
other-internal	Religion	external	1809
Literature	History	other	1358
other-search	Sports	link	1402
Philosophy	Literature	link	1034
Technology	Music	other	1230
Art	Biology	link	2751
other-empty	Science	external	762
Art	Wikipedia	other	2472
Technology	World_War_II	link	856
other-empty	Physics	link	2199
Religion	History	link	867
other-external	Sports	link	2034
Main_Page	Earth	link	2040
Science	Earth	other	1852
Sports	Religion	other	2647
Sports	Main_Page	link	1253
other-internal	Technology	other	797
Biology	United_States	other	1894
United_States	English_language	external	1439
other-external	Geography	link	1875
Chemistry	Religion	external	2397
Earth	History	link	1659
Main_Page	Physics	link	1294
United_States	Science	external	589
Art	History	link	2726
other-external	Sports	other	1759
Chemistry	Technology	external	1892
Music	Sports	link	895
Chemistry	Chemistry	external	2614
Biology	Literature	link	2717
World_War_II	Religion	link	1063
other-search	Religion	external	1510
Literature	Music	link	1567
Main_Page	Science	link	2242
other-internal	Philosophy	link	2952
English_language	Sports	external	1961
Art	Literature	external	2109
Art	Geography	other	803
World_War_II	Earth	link	1124
Biology	English_language	external	1508
other-search	Mathematics	other	2828
United_States	Philosophy	other	1663
other-internal	Chemistry	external	1824
Literature	Earth	link	2297
other-external	Technology	link	1884
Main_Page	Philosophy	other	614
Technology	Earth	link	1054
Religion	Geography	link	1098
World_War_II	Geography	other	1731
Mathematics	Literature	other	1074
History	Physics	external	487
Philosophy	World_War_II	external	2461
Art	Religion	external	768
other-external	Sports	link	1178
Physics	Mathematics	external	1056
Art	Mathematics	other	1299
Philosophy	Earth	link	2365
Main_Page	Sports	link	999
Philosophy	United_States	external	542
Geography	Biology	link	1614
Earth	Main_Page	external	1277
Geography	History	link	1410
Chemistry	Art	other	2112
other-external	Philosophy	link	1975
Physics	Geography	other	2288
Literature	Main_Page	other	1792
Sports	Chemistry	other	2124
Music	Sports	external	1715
other-search	Mathematics	link	1468
Main_Page	Religion	other	2377
other-empty	Wikipedia	other	626
Earth	Main_Page	link	614
Music	World_War_II	link	768
Wikipedia	Earth	external	1965
Wikipedia	United_States	other	2501
other-search	Science	other	1169
Mathematics	Main_Page	external	1725
other-internal	Chemistry	other	725
United_States	Chemistry	link	2138
other-internal	Art	external	1097
Geography	Sports	external	1310
Religion	Biology	external	2189
World_War_II	History	other	1647
Religion	Music	external	1219
other-search	Technology	other	572
Technology	United_States	external	2372
Music	Literature	external	1092
Wikipedia	Technology	link	726
Mathematics	Sports	other	1508
Geography	Wikipedia	other	1029
Philosophy	Literature	link	1637
Technology	World_War_II	other	1345
Religion	Music	link	826
History	Wikipedia	link	864
Religion	Religion	other	1722
Geography	United_States	link	1677
Sports	Technology	external	633
Wikipedia	Art	link	1243
Chemistry	Chemistry	link	680
Art	Physics	external	910
Geography	Main_Page	other	2728
Geography	Chemistry	link	1439
Religion	Art	external	678
History	Music	other	1943
Music	Science	other	1729
Main_Page	Religion	link	576
Main_Page	Sports	other	658
English_language	Physics	link	974
United_States	Main_Page	external	572
Mathematics	Chemistry	link	2264
other-internal	Religion	other	1083
Geography	Biology	link	1186
Physics	Biology	link	1521
Biology	Art	other	1122
other-external	English_language	external	1302
Main_Page	English_language	link	1522
Literature	Mathematics	link	2111
History	History	other	1683
Philosophy	Earth	link	839
Philosophy	Geography	other	1713
Wikipedia	Religion	external	1345
Sports	Science	link	1107
Earth	Earth	link	1891
United_States	World_War_II	other	1175
Religion	Technology	other	1583
United_States	Science	other	1797
other-search	Literature	link	1610
Art	Earth	external	1820
Earth	World_War_II	external	688
Religion	Sports	external	1170
Religion	Technology	external	1547
Music	Music	external	625
Wikipedia	Literature	other	2629
Sports	Literature	external	1656
Mathematics	United_States	external	1968
Chemistry	Sports	link	1913
other-external	Earth	external	1796
Main_Page	Wikipedia	link	1895
other-empty	Physics	other	1298
Sports	World_War_II	other	505
Physics	Literature	external	962
Art	Sports	link	1094
other-external	Art	link	2116
Biology	English_language	external	2381
United_States	Main_Page	link	2542
Main_Page	Chemistry	external	1006
other-search	Physics	external	1168
Biology	Physics	link	1411
other-internal	History	other	802
Main_Page	Music	link	894
Physics	Chemistry	external	2031
Sports	English_language	other	1447
Mathematics	Religion	link	1675
other-external	Art	other	1489
Music	Art	link	1804
Geography	History	other	2100
English_language	Literature	external	1578
Art	Religion	other	686
Mathematics	English_language	external	1081
United_States	United_States	link	672
Music	Religion	external	990
Main_Page	World_War_II	external	1504
Literature	Technology	other	1030
Science	Religion	other	2004
Biology	Technology	other	699
other-external	Philosophy	external	2462
Technology	Chemistry	other	2463
other-empty	Biology	other	1858
Technology	Science	link	1644
Science	Main_Page	link	2383
Technology	Music	external	42
Art	Music	link	55
United_States	United_States	other	50
Wikipedia	Chemistry	external	46
Art	Sports	other	62
Music	Main_Page	link	58
other-external	Wikipedia	other	62
Philosophy	United_States	external	48
Technology	Mathematics	link	53
Literature	Sports	link	52
Sports	Literature	external	49
other-external	Biology	link	48
Technology	Wikipedia	other	43
Music	Art	other	41
Geography	Geography	link	52
World_War_II	Religion	external	54
Physics	Art	external	54
Physics	Earth	link	58
other-empty	Sports	external	52
World_War_II	Science	link	45
Science	Sports	other	53
United_States	Literature	link	55
Sports	Music	link	50
United_States	History	link	51
Main_Page	Literature	external	59
other-empty	Technology	other	63
English_language	Literature	other	57
Earth	Chemistry	external	46
Chemistry	Science	other	48
other-empty	Technology	external	49
other-internal	Geography	other	52
Main_Page	Chemistry	other	46
other-empty	World_War_II	other	46
Technology	Geography	other	41
Science	Music	link	41
Religion	Music	other	47
Music	United_States	external	47
Main_Page	Earth	other	45
Physics	Physics	external	55
United_States	Wikipedia	link	63
Literature	Literature	link	64
Religion	Wikipedia	external	55
United_States	History	link	41
Main_Page	Mathematics	external	54
Philosophy	Main_Page	other	51
Art	Earth	link	40
other-search	Mathematics	link	54
other-external	Biology	external	47
Music	Philosophy	other	52
other-search	Philosophy	external	47
Geography	History	external	54
Mathematics	Sports	external	65
World_War_II	Religion	link	52
Chemistry	Biology	other	56
other-empty	Literature	external	58
other-internal	Main_Page	link	45
Religion	Philosophy	link	51
other-search	World_War_II	other	52
Chemistry	Earth	link	47
Philosophy	Technology	other	41
Chemistry	Physics	other	49
Sports	Geography	other	51
Music	Literature	link	55
other-empty	United_States	link	52
United_States	Earth	link	53
Music	Earth	link	52
other-empty	Chemistry	other	59
English_language	Philosophy	external	66
Mathematics	Religion	external	53
Sports	United_States	other	46
Wikipedia	Music	link	42
Chemistry	Sports	link	38
Mathematics	English_language	other	48
Art	Main_Page	link	52
Literature	Science	external	45
World_War_II	World_War_II	external	42
other-empty	Wikipedia	link	49
World_War_II	United_States	external	57
Geography	Earth	external	46
History	World_War_II	external	43
Sports	Wikipedia	other	48
Philosophy	History	link	62
Art	World_War_II	external	53
Religion	Main_Page	link	42
Music	Biology	external	38
Wikipedia	Philosophy	external	48
Philosophy	Sports	external	47
Main_Page	Sports	link	54
Earth	Chemistry	link	56
Literature	Wikipedia	external	40
Religion	History	link	53
Religion	Music	external	47
Technology	Biology	other	51
Physics	Sports	other	59
Art	Sports	other	65
Technology	Wikipedia	external	39
Chemistry	Technology	link	60
Religion	Technology	external	51
Music	Wikipedia	other	51
Religion	Science	external	60
Physics	United_States	other	57
Science	Technology	other	41
Biology	Philosophy	link	54
Art	Music	other	61
Literature	Sports	other	56
Earth	Religion	other	54
Technology	Chemistry	other	41
Religion	Literature	other	64
Earth	Wikipedia	external	47
Earth	Art	external	47
United_States	Philosophy	other	48
Science	Wikipedia	other	48
Wikipedia	Mathematics	external	61
Wikipedia	Mathematics	other	54
Religion	Technology	external	50
Art	Music	external	47
Physics	Art	other	52
other-internal	Science	external	45
Physics	Philosophy	external	51
other-search	Literature	other	41
other-external	English_language	other	43
Literature	Art	other	48
Geography	Wikipedia	external	58
World_War_II	English_language	other	43
Wikipedia	United_States	other	52
Chemistry	Religion	other	50
Physics	English_language	external	41
other-empty	Art	external	40
Philosophy	Biology	other	57
World_War_II	Wikipedia	link	49
Biology	English_language	external	46
Main_Page	Earth	link	55
Philosophy	Wikipedia	external	57
Philosophy	Biology	link	60
Sports	Literature	link	47
Literature	Science	external	49
United_States	Earth	other	46
Mathematics	World_War_II	link	41
Main_Page	Sports	other	45
Music	Mathematics	link	59
Physics	Technology	link	51
Religion	Physics	link	40
Physics	Physics	other	57
Science	Biology	external	48
Music	Literature	link	50
Chemistry	Biology	external	38
Main_Page	United_States	other	60
Art	Science	other	43
Art	United_States	external	46
Technology	Art	other	57
Music	Philosophy	other	54
Art	Biology	other	45
Music	Earth	external	49
other-internal	Physics	other	58
Physics	Philosophy	link	50
Geography	Earth	external	42
Science	Music	other	51
Geography	United_States	link	41
Mathematics	Religion	link	58
Music	Music	other	51
Main_Page	Sports	other	33
Earth	Art	link	40
other-search	History	other	51
Religion	Main_Page	link	51
Mathematics	English_language	external	51
other-external	History	link	50
Mathematics	Physics	link	55
Music	Philosophy	link	51
other-internal	Art	link	54
Literature	Music	other	63
other-empty	History	external	52
Biology	Geography	external	39
Physics	Philosophy	other	48
Technology	Philosophy	link	43
other-empty	Literature	link	44
Philosophy	English_language	link	41
Science	Music	external	46
other-search	Religion	other	42
Physics	Philosophy	link	58
Religion	Main_Page	external	44
Physics	Religion	external	57
Wikipedia	World_War_II	other	47
Earth	Physics	link	50
English_language	World_War_II	link	47
Science	Art	link	52
Mathematics	Art	external	52
Literature	Main_Page	link	50
Technology	Science	link	59
Philosophy	Main_Page	link	56
other-external	Technology	external	73
Sports	Music	external	66
Physics	World_War_II	external	53
Technology	World_War_II	external	50
Sports	Literature	link	57
Science	Physics	link	48
Literature	Art	external	54
Science	English_language	external	55
Art	Wikipedia	other	61
other-empty	Technology	link	47
World_War_II	Science	external	48
Mathematics	Science	external	58
other-empty	Chemistry	external	52
Philosophy	History	external	59
Main_Page	Wikipedia	other	60
Art	Physics	other	43
Wikipedia	Philosophy	other	58
Philosophy	Science	other	46
Sports	World_War_II	link	50
Main_Page	United_States	other	45
other-search	Sports	other	56
other-empty	Mathematics	other	59
Main_Page	Biology	other	57
World_War_II	Biology	other	53
Mathematics	Earth	other	53
Physics	Technology	external	68
Chemistry	Literature	link	39
Wikipedia	Main_Page	other	49
English_language	Sports	link	44
History	Main_Page	other	61
other-search	Science	link	55
Music	Biology	other	47
Music	Biology	link	39
Wikipedia	Sports	link	49
other-external	Sports	other	33
Physics	Main_Page	external	48
Music	Biology	external	54
United_States	Wikipedia	other	52
Main_Page	Science	link	45
Geography	English_language	external	54
Music	United_States	other	41
other-external	Art	other	54
Sports	Sports	external	56
other-search	Sports	other	47
Sports	Religion	link	37
Wikipedia	Technology	external	57
Chemistry	English_language	other	47
World_War_II	Literature	other	57
Philosophy	World_War_II	external	37
World_War_II	English_language	link	55
Mathematics	Geography	other	54
Philosophy	Philosophy	external	50
Earth	Biology	external	49
Biology	Mathematics	external	61
Physics	Literature	other	46
Religion	Geography	other	53
Physics	United_States	other	45
English_language	History	link	49
other-internal	Science	external	49
other-empty	Music	link	44
Religion	Mathematics	other	48
Science	Technology	external	50
Main_Page	Technology	other	57
Philosophy	United_States	other	58
other-search	Earth	link	51
other-search	Geography	link	52
World_War_II	Music	other	50
Earth	Literature	external	56
Biology	Art	external	64
Physics	Religion	external	36
Mathematics	Art	external	51
Main_Page	Wikipedia	other	58
United_States	Art	link	65
English_language	Earth	other	43
World_War_II	Geography	other	42
other-external	History	external	45
Religion	Religion	link	52
Biology	Philosophy	link	49
Sports	United_States	other	55
Main_Page	Biology	link	48
Earth	Wikipedia	external	47
History	Mathematics	link	41
other-empty	Main_Page	link	45
United_States	Art	other	50
Wikipedia	Earth	external	50
Philosophy	Science	link	40
Religion	Science	link	62
Mathematics	English_language	other	64
Chemistry	Main_Page	other	43
Chemistry	History	other	45
Physics	World_War_II	other	61
Biology	Earth	link	53
other-empty	Religion	external	44
Religion	Technology	other	52
other-search	Mathematics	link	48
other-external	Mathematics	link	63
Music	English_language	external	59
Music	United_States	other	52
World_War_II	Literature	other	52
Wikipedia	Wikipedia	other	42
Chemistry	Earth	other	40
English_language	Literature	other	47
Science	Science	other	40
Art	Literature	link	53
Chemistry	Philosophy	link	51
Main_Page	Main_Page	external	55
Earth	Mathematics	external	47
Wikipedia	Chemistry	external	64
Literature	Chemistry	link	48
other-internal	Main_Page	other	54
Music	Art	other	53
History	Religion	link	45
World_War_II	Literature	link	52
Wikipedia	United_States	other	44
Science	Philosophy	link	59
Philosophy	English_language	external	53
Art	Philosophy	external	65
Religion	Physics	link	49
Art	Mathematics	link	45
Literature	Geography	external	44
other-external	Music	external	44
other-search	Earth	other	52
Literature	Music	link	49
United_States	Geography	link	53
other-external	Sports	external	62
Earth	Biology	external	47
Technology	Religion	link	49
Chemistry	Earth	link	58
other-internal	Philosophy	link	61
Science	Wikipedia	other	49
Biology	Science	other	42
English_language	Earth	external	49
other-search	History	external	46
English_language	Geography	external	56
Physics	History	external	65
other-internal	United_States	other	45
Art	Music	other	53
Physics	Chemistry	other	56
other-external	Philosophy	external	62
Sports	Wikipedia	link	60
Technology	History	external	44
Literature	Literature	link	39
Technology	Art	other	50
Earth	Main_Page	link	60
Science	Biology	other	52
Technology	World_War_II	link	41
Biology	Technology	external	57
United_States	Religion	external	43
Philosophy	Chemistry	other	51
Earth	Chemistry	link	52
Earth	United_States	other	39
Music	Music	link	56
Technology	English_language	external	55
other-empty	Chemistry	external	56
Main_Page	Geography	other	43
Science	Literature	external	52
Physics	Religion	external	49
History	Geography	link	51
Biology	Earth	external	48
Wikipedia	Geography	external	40
other-external	Earth	external	45
History	United_States	link	56
History	Geography	external	40
United_States	History	external	48
History	History	external	61
Literature	Technology	external	50
Earth	Music	external	44
Main_Page	Sports	other	41
Art	Geography	other	53
History	Earth	external	63
other-internal	Religion	other	55
Philosophy	Earth	other	56
Chemistry	Sports	other	54
Music	History	link	53
other-empty	Science	other	51
Sports	Literature	other	55
Music	Chemistry	external	39
other-external	United_States	other	43
Philosophy	Philosophy	external	56
other-internal	Physics	external	59
Earth	Sports	external	49
other-external	Science	other	56
Chemistry	Earth	link	41
other-search	United_States	link	41
Biology	Literature	external	50
Physics	Philosophy	other	55
United_States	World_War_II	other	50
Art	Main_Page	link	46
Earth	Mathematics	link	57
Biology	Mathematics	other	47
Mathematics	Technology	link	58
Mathematics	Mathematics	external	58
Physics	Chemistry	other	47
other-empty	Mathematics	external	54
other-search	Philosophy	other	51
Religion	United_States	link	46
other-external	Chemistry	external	61
other-external	Geography	external	61
other-internal	Philosophy	link	51
Physics	Physics	external	52
Sports	Geography	link	58
Technology	Main_Page	link	58
other-search	Biology	other	57
other-internal	Literature	other	39
Physics	Religion	link	50
United_States	Science	link	42
World_War_II	Wikipedia	other	58
Main_Page	World_War_II	external	45
Chemistry	Sports	external	45
Religion	Religion	external	48
Literature	Religion	external	47
Literature	World_War_II	other	45
Biology	United_States	external	57
Biology	History	external	53
Science	Science	link	45
Biology	Main_Page	other	59
other-empty	United_States	external	44
English_language	English_language	external	45
Earth	Mathematics	other	51
Philosophy	Main_Page	external	43
Mathematics	Wikipedia	link	52
Mathematics	World_War_II	other	39
Mathematics	Mathematics	external	51
World_War_II	Earth	external	60
Technology	History	link	44
United_States	Main_Page	external	53
other-external	Philosophy	external	51
other-search	English_language	external	47
History	Sports	external	49
Philosophy	Technology	external	50
English_language	History	link	67
Earth	World_War_II	link	65
Earth	Biology	link	45
Physics	Music	other	51
World_War_II	Mathematics	external	51
Sports	Mathematics	other	47
Chemistry	Main_Page	external	48
History	Technology	other	54
Main_Page	Science	other	55
Physics	Philosophy	other	39
Mathematics	Mathematics	external	48
Mathematics	Biology	other	38
History	Main_Page	external	47
Literature	Physics	link	63
Technology	Literature	external	40
Philosophy	Literature	link	56
Physics	Geography	link	53
History	Earth	external	73
other-empty	Mathematics	link	50
Music	World_War_II	other	57
Music	Chemistry	link	48
other-search	Music	external	50
United_States	English_language	other	55
Earth	Literature	link	50
Physics	Earth	link	41
Mathematics	Main_Page	external	42
Chemistry	Literature	other	36
English_language	Technology	external	40
Main_Page	Literature	other	49
Religion	Physics	link	62
World_War_II	History	link	49
Technology	Philosophy	external	46
Philosophy	Earth	link	51
Sports	Science	external	44
Sports	Technology	link	47
Wikipedia	Main_Page	other	43
Literature	Physics	other	52
Wikipedia	Biology	other	52
Science	Chemistry	external	38
Biology	Sports	external	45
Chemistry	World_War_II	external	50
Wikipedia	Chemistry	other	56
Chemistry	Earth	external	49
other-empty	Main_Page	external	47
Earth	English_language	other	53
Biology	Music	other	63
Geography	Music	external	46
Earth	World_War_II	external	53
Biology	History	other	51
History	Sports	other	39
Biology	Earth	link	45
Technology	Main_Page	external	57
United_States	Main_Page	link	52
World_War_II	Technology	link	55
Art	Chemistry	external	44
Wikipedia	Main_Page	link	33
Sports	Art	link	58
Sports	Earth	external	47
World_War_II	Literature	link	56
Mathematics	English_language	link	41
Religion	Literature	external	43
Science	Science	external	57
Geography	Philosophy	link	52
Philosophy	Technology	other	53
other-internal	United_States	other	50
Earth	Wikipedia	other	58
Wikipedia	Geography	other	56
Mathematics	Wikipedia	external	49
Wikipedia	World_War_II	external	56
Geography	Physics	external	54
Science	Mathematics	link	56
other-empty	Wikipedia	external	38
Art	Religion	other	47
Art	World_War_II	external	47
Physics	Art	link	53
Wikipedia	History	other	44
Technology	English_language	other	43
other-empty	Technology	link	48
Earth	Biology	link	43
other-internal	Technology	external	47
other-internal	Music	link	37
other-external	Mathematics	external	58
History	Music	other	45
Biology	Main_Page	external	50
Literature	Technology	external	43
Art	Physics	link	54
Technology	Science	link	59
other-external	Earth	external	55
other-external	Technology	link	57
Technology	Philosophy	link	55
Mathematics	World_War_II	other	53
Chemistry	Chemistry	external	45
Mathematics	Religion	other	55
Wikipedia	United_States	external	67
Philosophy	Technology	external	39
Main_Page	Wikipedia	external	52
Sports	Literature	external	50
Wikipedia	English_language	other	56
Geography	English_language	external	54
Chemistry	World_War_II	link	46
Literature	History	link	52
World_War_II	Main_Page	external	47
Technology	Main_Page	external	49
World_War_II	Technology	external	39
Philosophy	Physics	external	53
World_War_II	Wikipedia	other	61
Philosophy	Technology	external	48
English_language	United_States	link	52
Technology	Main_Page	external	38
Technology	Music	other	61
Geography	World_War_II	other	62
other-search	Music	link	49
Technology	Religion	external	52
Technology	Mathematics	external	51
Science	Main_Page	external	54
Physics	Sports	link	45
United_States	Mathematics	external	36
Technology	Music	other	44
other-internal	Mathematics	external	50
other-search	World_War_II	link	47
World_War_II	Sports	link	52
Chemistry	Religion	link	46
World_War_II	United_States	external	61
other-search	United_States	link	48
Technology	Wikipedia	external	54
Music	History	link	52
Art	Geography	external	53
Science	Science	link	48
Religion	Main_Page	other	53
other-external	English_language	external	54
Wikipedia	Sports	external	52
Geography	Main_Page	external	55
Religion	History	other	50
Chemistry	Earth	other	52
other-empty	Technology	other	53
Geography	Earth	link	53
Physics	English_language	external	41
Earth	Chemistry	external	47
Philosophy	Main_Page	link	52
Art	Earth	other	60
Earth	Technology	other	61
Mathematics	Literature	link	53
Philosophy	Wikipedia	external	49
World_War_II	Physics	external	39
Biology	Technology	link	43
Main_Page	Chemistry	link	60
Physics	Music	other	58
other-external	Science	link	49
Sports	Science	external	55
other-external	Philosophy	external	57
Geography	World_War_II	link	33
World_War_II	Mathematics	other	50
Main_Page	Literature	link	46
English_language	Mathematics	link	42
other-empty	English_language	other	42
Art	Physics	link	51
Music	Science	other	52
Religion	Art	external	49
World_War_II	Sports	other	50
Religion	Biology	external	44
other-search	Main_Page	other	47
United_States	Biology	external	59
Mathematics	Geography	link	39
Music	Main_Page	other	60
Technology	Geography	link	44
Physics	Wikipedia	other	54
Technology	Philosophy	link	59
History	History	link	57
Art	Wikipedia	link	44
Religion	World_War_II	external	51
Art	Sports	external	51
Literature	Music	external	65
Biology	Technology	other	50
other-empty	Science	external	48
Religion	History	other	52
Music	Literature	link	60
other-internal	Earth	other	42
Biology	Music	external	58
Technology	Geography	external	57
Biology	Wikipedia	link	51
other-internal	Mathematics	other	59
Religion	English_language	link	55
Philosophy	English_language	link	34
English_language	History	link	42
Geography	Geography	external	44
Geography	Philosophy	external	38
Music	Religion	external	41
Religion	Biology	link	45
Earth	Music	external	52
World_War_II	History	other	53
other-empty	History	other	37
United_States	Physics	link	47
Religion	Religion	external	41
Geography	Geography	link	49
other-internal	Physics	external	49
other-internal	Music	other	59
Literature	Art	link	56
World_War_II	World_War_II	other	38
Technology	Sports	link	49
Geography	Earth	other	50
other-empty	Philosophy	other	49
Biology	Technology	link	53
Physics	United_States	external	46
Science	Music	external	48
Religion	United_States	other	44
other-external	Geography	link	48
Science	United_States	other	51
Earth	History	external	38
Main_Page	Wikipedia	external	44
other-internal	Religion	other	66
Geography	Mathematics	external	51
Sports	Earth	external	53
Technology	Sports	other	59
Science	English_language	other	46
other-external	Music	external	58
other-empty	Chemistry	link	45
Philosophy	Wikipedia	link	56
World_War_II	Wikipedia	external	58
Biology	Wikipedia	link	57
Technology	Biology	link	51
English_language	Geography	link	44
History	Earth	external	52
Wikipedia	Physics	link	56
Science	United_States	external	37
History	Philosophy	other	48
United_States	Main_Page	other	42
Religion	Main_Page	external	55
Mathematics	History	link	45
Music	Chemistry	other	48
Wikipedia	Literature	link	63
United_States	Technology	external	52
other-empty	Philosophy	external	52
other-search	Religion	other	67
Biology	Mathematics	external	55
Wikipedia	Mathematics	other	43
Literature	English_language	external	48
Physics	Art	other	48
Physics	Earth	external	50
Mathematics	Religion	other	53
Chemistry	Physics	link	53
other-external	Physics	external	50
Main_Page	Chemistry	link	50
Physics	Biology	external	43
Main_Page	Chemistry	other	50
Religion	Earth	link	48
History	Biology	external	44
World_War_II	Music	external	61
Geography	Technology	link	50
Physics	Science	external	45
Biology	Physics	link	39
Sports	Literature	other	51
World_War_II	Wikipedia	other	55
Wikipedia	Sports	link	64
Music	Technology	other	42
United_States	Literature	other	53
History	Main_Page	link	45
Wikipedia	Chemistry	link	49
Technology	History	external	37
History	United_States	link	41
Sports	Chemistry	external	46
Physics	Chemistry	external	61
Sports	Wikipedia	external	45
Main_Page	Earth	external	46
other-internal	Science	other	38
English_language	Religion	other	52
Geography	Mathematics	link	44
Earth	United_States	external	49
Chemistry	Sports	other	57
English_language	Sports	other	42
History	Literature	link	44
Wikipedia	Philosophy	link	55
World_War_II	World_War_II	external	60
Geography	United_States	link	54
Physics	Sports	external	46
English_language	Chemistry	other	54
Science	Sports	other	45
World_War_II	Mathematics	external	60
Technology	Earth	external	59
Science	Philosophy	link	39
Science	Physics	other	58
Music	Religion	external	50
other-external	English_language	external	45
Mathematics	Mathematics	other	43
Science	Chemistry	external	52
other-internal	Science	external	47
Geography	Mathematics	link	54
Main_Page	Music	external	55
Religion	Art	other	53
Biology	United_States	link	42
Biology	Philosophy	link	54
Geography	Philosophy	link	53
World_War_II	Philosophy	link	41
Biology	Biology	external	54
Geography	United_States	link	48
other-search	Mathematics	external	74
Mathematics	Music	external	53
Chemistry	Main_Page	external	55
Geography	Philosophy	external	42
other-external	Music	link	44
History	Technology	external	51
Philosophy	Literature	other	38
Sports	World_War_II	other	63
History	Biology	external	52
Chemistry	Wikipedia	other	53
other-search	Main_Page	external	55
Wikipedia	Wikipedia	other	43
Science	English_language	other	57
Sports	Earth	link	46
Technology	Main_Page	link	45
Literature	United_States	other	52
Sports	Chemistry	link	37
Science	Chemistry	other	46
Geography	Technology	other	56
History	Literature	external	46
other-search	Main_Page	external	43
Physics	Art	external	54
World_War_II	Wikipedia	external	72
Art	Philosophy	other	51
United_States	Main_Page	link	59
Main_Page	United_States	link	45
Main_Page	History	external	38
other-search	English_language	external	48
Music	Literature	external	55
Religion	World_War_II	link	36
other-internal	Biology	external	61
Mathematics	Physics	other	37
Wikipedia	Music	other	55
Sports	Mathematics	external	53
Literature	Technology	link	64
United_States	Literature	other	41
Main_Page	Earth	other	49
History	Religion	link	54
English_language	Main_Page	external	45
other-search	Physics	other	58
United_States	Philosophy	link	44
History	English_language	link	47
Philosophy	Geography	link	51
Sports	World_War_II	other	51
English_language	United_States	link	41
Geography	Religion	other	48
Technology	Music	external	52
Wikipedia	Music	link	51
other-internal	Philosophy	link	48
Chemistry	Main_Page	link	50
Physics	English_language	link	42
Geography	Religion	external	55
Wikipedia	English_language	other	62
Science	Biology	other	59
Geography	Philosophy	other	45
Earth	Chemistry	link	42
United_States	Physics	link	58
Wikipedia	Literature	external	51
Chemistry	History	other	64
Main_Page	Sports	link	55
Science	World_War_II	other	54
World_War_II	Religion	external	38
Chemistry	World_War_II	external	54
other-internal	Literature	external	56
other-search	Science	link	51
other-empty	Literature	link	59
World_War_II	World_War_II	other	47
Chemistry	Chemistry	external	46
Mathematics	Mathematics	link	62
Biology	Main_Page	other	48
Technology	Religion	link	39
other-empty	Religion	external	51
Geography	Art	link	42
Main_Page	Technology	link	54
Wikipedia	United_States	external	40
Main_Page	United_States	link	57
Earth	World_War_II	external	52
other-search	Philosophy	other	56
Chemistry	Geography	external	46
Literature	Geography	external	53
Mathematics	Chemistry	other	49
other-external	Chemistry	link	46
other-empty	Biology	external	54
other-external	Biology	other	45
Physics	Main_Page	link	58
World_War_II	Music	external	59
Chemistry	Biology	other	50
other-external	Wikipedia	link	69
other-search	Earth	other	49
other-search	Philosophy	other	54
Mathematics	Geography	external	35
Physics	Earth	external	39
Sports	Wikipedia	other	50
other-empty	Literature	link	44
other-search	Earth	other	51
History	Religion	external	50
Philosophy	Biology	external	43
Philosophy	History	external	44
Science	Music	external	41
Science	World_War_II	link	52
English_language	Science	other	56
Literature	Physics	link	44
Wikipedia	Science	link	45
other-empty	English_language	other	47
Music	Science	other	50
