prev	curr	type	n
Science	Biology	link	641
Sports	Main_Page	link	1703
Science	Geography	other	2068
Religion	World_War_II	link	1082
Physics	Main_Page	link	662
History	Geography	other	595
Mathematics	Mathematics	other	1123
Geography	Philosophy	other	856
Chemistry	Main_Page	link	1462
Biology	Geography	other	2791
other-search	United_States	other	1662
Music	Geography	other	1346
other-empty	Art	link	2467
Physics	Earth	other	1907
English_language	Mathematics	link	1550
Music	Philosophy	link	1110
Biology	Technology	other	1279
English_language	Art	other	2274
Technology	Geography	external	1246
Music	Literature	other	2038
Geography	Mathematics	link	1604
Music	Biology	link	777
United_States	World_War_II	other	1877
Earth	Chemistry	link	1979
other-empty	Music	other	2732
Chemistry	Wikipedia	other	1355
Biology	Music	link	2149
Religion	English_language	link	756
World_War_II	Science	link	2109
Religion	Mathematics	external	588
Chemistry	Literature	external	895
other-internal	Science	other	2472
United_States	Physics	external	1055
Sports	Physics	other	1292
other-external	Chemistry	other	1460
Technology	Philosophy	external	2007
English_language	Mathematics	external	1132
Chemistry	Religion	other	2422
Music	Philosophy	external	1648
Religion	Technology	external	1452
Art	Earth	link	1243
Literature	Religion	external	811
Physics	History	other	1010
Biology	Philosophy	external	2139
Religion	Technology	external	1096
United_States	Religion	external	801
English_language	Art	link	1333
Chemistry	Wikipedia	other	1327
other-search	Wikipedia	other	1228
Earth	English_language	external	786
Earth	History	link	1386
Wikipedia	Sports	external	2119
Chemistry	Science	external	2401
Literature	Philosophy	other	2861
other-internal	Geography	link	901
Physics	United_States	external	3019
Sports	Geography	other	1462
Philosophy	History	other	2202
Technology	World_War_II	other	1391
Earth	United_States	other	674
Chemistry	Literature	link	940
Technology	Geography	external	1165
other-search	United_States	link	586
other-search	Geography	other	1856
Biology	Main_Page	link	657
other-empty	Biology	other	635
Earth	Philosophy	link	2047
Earth	Mathematics	other	1575
World_War_II	Wikipedia	external	2987
Physics	Wikipedia	link	1120
Religion	United_States	other	610
Philosophy	Earth	link	2226
World_War_II	United_States	external	1411
United_States	Philosophy	other	1403
Music	Science	other	704
other-empty	Physics	other	1107
Earth	Main_Page	external	2402
Geography	Science	link	1122
Wikipedia	English_language	other	2109
Mathematics	Physics	other	2873
Main_Page	Literature	link	2681
other-internal	Main_Page	other	1501
Music	Wikipedia	link	956
Main_Page	Chemistry	link	1990
World_War_II	Science	other	1507
other-empty	Philosophy	external	1339
other-internal	Physics	link	639
Earth	United_States	other	2581
Biology	Physics	link	1237
Mathematics	Geography	link	2233
Geography	Religion	link	1492
Philosophy	World_War_II	external	2502
World_War_II	Science	link	1126
History	Biology	link	1361
Science	Literature	other	1160
Technology	Science	link	545
Chemistry	Geography	link	1894
Chemistry	Sports	other	2109
other-empty	Geography	link	710
History	Earth	other	615
other-external	Music	link	2469
other-internal	Literature	other	531
Wikipedia	Technology	external	1257
World_War_II	Philosophy	link	1535
Mathematics	Wikipedia	other	2021
Religion	Earth	other	1666
Physics	Main_Page	link	2485
Technology	Literature	external	2255
History	Earth	external	997
Art	Science	link	1122
Mathematics	English_language	other	978
Art	Literature	link	1991
Physics	Main_Page	external	2192
World_War_II	Religion	link	1062
Literature	Main_Page	link	2434
Literature	Chemistry	external	2138
Biology	United_States	other	2163
Science	Music	link	1751
other-search	Chemistry	external	1097
other-empty	Religion	external	1950
Philosophy	Sports	other	1408
Biology	Geography	other	1754
Geography	History	external	2465
Music	Geography	other	598
History	Science	external	1169
Music	World_War_II	external	851
other-search	Music	link	982
Biology	Wikipedia	external	677
Physics	Earth	external	1369
Physics	Mathematics	external	760
Wikipedia	Chemistry	link	851
other-empty	Science	link	477
Literature	World_War_II	other	1887
other-external	Music	link	1569
World_War_II	Technology	external	714
Earth	Religion	other	749
Literature	Sports	external	777
Mathematics	Technology	external	1935
Science	Earth	link	2261
Philosophy	Science	external	1527
Mathematics	Science	link	1511
other-empty	Mathematics	external	512
Mathematics	United_States	external	1644
Literature	World_War_II	external	1207
Music	History	link	605
other-internal	Religion	link	2345
Art	Geography	other	2092
Music	Science	external	1259
Technology	Sports	external	1368
Science	Biology	other	1780
Chemistry	Wikipedia	external	2678
other-empty	Main_Page	link	1328
other-search	Art	link	1409
Science	Music	other	523
Sports	Music	external	2040
Literature	Earth	link	928
Biology	Biology	other	1652
Religion	Earth	link	51
Philosophy	Technology	link	47
World_War_II	Art	other	62
History	Music	external	40
Chemistry	Science	link	48
Sports	Art	link	35
other-search	Science	external	46
Biology	Science	other	43
Chemistry	Art	other	61
Wikipedia	Physics	other	43
Science	Art	external	58
English_language	Main_Page	external	50
Philosophy	Science	external	49
Wikipedia	Religion	other	52
Main_Page	Chemistry	link	55
other-external	Music	external	44
Chemistry	Literature	link	51
Geography	Art	other	46
World_War_II	Music	other	54
Geography	Wikipedia	link	39
Sports	Wikipedia	link	48
English_language	Chemistry	external	51
United_States	Art	link	53
Art	Art	other	43
English_language	Religion	external	52
Sports	Technology	link	47
Physics	Religion	link	42
Art	Physics	link	43
Religion	Science	other	61
Biology	Music	link	59
Technology	Physics	other	42
Sports	Art	external	38
History	Literature	link	63
History	Physics	external	44
Literature	Art	other	50
English_language	Science	link	61
Main_Page	Religion	link	46
Music	Wikipedia	other	51
Geography	English_language	other	53
United_States	World_War_II	external	56
Science	Earth	external	53
Wikipedia	Religion	external	55
Technology	Religion	other	32
other-search	English_language	other	43
English_language	Geography	link	50
Philosophy	Science	link	58
History	Religion	other	62
History	Main_Page	other	62
Religion	Art	link	61
Physics	Physics	other	55
Physics	Technology	other	53
other-search	Philosophy	external	56
Literature	Philosophy	link	56
Chemistry	Science	external	53
Earth	World_War_II	link	67
World_War_II	Religion	other	53
Religion	Art	link	42
Technology	Science	link	48
United_States	Literature	external	63
Earth	World_War_II	other	47
Music	Physics	link	51
Wikipedia	Main_Page	external	46
Earth	Science	external	44
other-external	United_States	link	62
Religion	World_War_II	other	44
History	Biology	other	42
Philosophy	English_language	external	60
Wikipedia	Earth	link	42
other-external	Music	link	36
Chemistry	Religion	external	44
other-internal	Chemistry	external	33
Mathematics	Science	other	52
Music	Physics	other	47
Wikipedia	Science	external	51
other-internal	Physics	link	38
other-search	Sports	link	56
Chemistry	Music	other	41
World_War_II	Earth	external	48
Music	History	other	56
United_States	History	external	59
Religion	Mathematics	external	55
other-empty	United_States	link	54
Biology	Science	link	50
Chemistry	Art	external	45
Physics	English_language	other	50
Religion	Religion	external	41
Earth	Wikipedia	link	45
other-external	Physics	link	51
History	Mathematics	other	63
Biology	Philosophy	link	53
Geography	Music	external	54
United_States	Main_Page	other	41
Physics	United_States	external	60
Music	Music	link	42
Sports	English_language	external	46
other-external	Physics	external	45
English_language	World_War_II	link	46
Geography	Music	external	34
Wikipedia	Philosophy	other	48
Art	Wikipedia	other	55
Chemistry	Mathematics	external	56
Wikipedia	Art	external	66
Mathematics	Mathematics	external	41
Biology	Art	external	48
Music	World_War_II	other	49
English_language	Philosophy	link	47
Mathematics	Music	external	56
Mathematics	Geography	external	39
Mathematics	Philosophy	link	61
Biology	History	external	54
Geography	Geography	other	60
World_War_II	Sports	external	50
History	Literature	other	55
Philosophy	History	external	56
Literature	Wikipedia	link	45
Geography	English_language	link	43
Wikipedia	Sports	external	44
Chemistry	Chemistry	link	53
World_War_II	English_language	link	42
Science	Science	other	43
other-empty	Literature	external	43
Sports	Wikipedia	external	61
Literature	History	link	41
Chemistry	Geography	external	52
Physics	Main_Page	link	63
Biology	United_States	other	42
other-empty	Wikipedia	other	45
History	Geography	other	52
Earth	Biology	external	45
other-external	Biology	link	50
History	Mathematics	link	49
Art	United_States	external	61
Main_Page	Philosophy	other	45
Sports	Art	external	40
Earth	Physics	other	44
Wikipedia	World_War_II	external	57
Music	Earth	external	42
other-external	English_language	link	43
Art	World_War_II	external	53
Philosophy	Science	external	53
Main_Page	Physics	other	39
Main_Page	Physics	other	48
Main_Page	Sports	link	56
Geography	Art	link	44
Geography	Art	external	45
Geography	Mathematics	other	63
Biology	Main_Page	other	57
Mathematics	Philosophy	external	38
Science	United_States	external	50
Earth	History	link	42
Wikipedia	Biology	external	61
History	Geography	external	47
World_War_II	United_States	link	43
Music	Biology	other	44
Sports	Mathematics	link	44
Religion	Mathematics	link	52
Music	Wikipedia	external	46
Philosophy	English_language	external	57
Science	Technology	other	52
Sports	Geography	link	55
Chemistry	Geography	link	44
other-search	Sports	external	59
Technology	Wikipedia	other	52
Religion	Mathematics	external	55
Literature	Physics	external	63
World_War_II	Music	link	40
Technology	Technology	link	27
Philosophy	Sports	external	35
History	Sports	external	55
other-external	History	external	45
Physics	United_States	external	46
other-internal	Main_Page	other	57
Sports	Physics	other	51
Religion	Music	link	42
other-empty	United_States	link	52
Geography	Biology	other	55
Physics	Biology	external	57
World_War_II	Biology	link	30
Chemistry	Wikipedia	other	58
Art	Physics	external	45
Main_Page	Physics	other	62
English_language	Science	link	52
Music	Main_Page	link	54
Philosophy	World_War_II	other	62
Mathematics	Religion	external	53
other-internal	English_language	other	46
Earth	Religion	other	59
Literature	Sports	link	40
History	Physics	external	58
Literature	Mathematics	other	46
Main_Page	Sports	link	53
Art	Geography	other	52
Geography	Music	other	42
Main_Page	Physics	external	48
Sports	World_War_II	link	45
Main_Page	Music	other	47
other-external	World_War_II	link	49
English_language	Philosophy	link	59
Music	Sports	external	46
Philosophy	Sports	external	42
Sports	Earth	external	51
Physics	Music	external	55
other-internal	English_language	link	51
Art	Mathematics	external	38
Sports	English_language	other	54
Music	Religion	link	47
Physics	Technology	link	46
Main_Page	Geography	other	45
History	Chemistry	link	52
Literature	Biology	external	45
Earth	World_War_II	other	46
Technology	United_States	external	54
United_States	Science	other	45
Main_Page	Technology	link	57
World_War_II	Physics	other	40
Earth	World_War_II	link	41
History	Sports	other	42
Literature	Chemistry	external	45
Chemistry	Sports	other	51
World_War_II	Mathematics	link	45
other-internal	United_States	external	42
Philosophy	United_States	external	50
Physics	Main_Page	other	47
Music	Literature	other	60
History	Main_Page	external	70
Physics	World_War_II	other	50
Biology	United_States	external	56
Sports	Science	link	44
Religion	Art	other	42
United_States	Earth	external	47
Physics	Biology	external	49
other-search	Mathematics	other	48
History	Science	other	59
Chemistry	Earth	external	42
Mathematics	Philosophy	link	52
other-search	Chemistry	other	50
Literature	English_language	other	47
Physics	Physics	link	43
Art	Biology	link	39
Technology	World_War_II	link	47
Music	History	external	45
other-internal	Biology	link	43
other-empty	World_War_II	other	49
Literature	Chemistry	other	56
Mathematics	Science	other	50
Chemistry	Art	other	59
English_language	Main_Page	external	42
History	Philosophy	link	60
Philosophy	Earth	other	50
World_War_II	Technology	link	55
Art	United_States	external	51
Wikipedia	United_States	external	54
Technology	Philosophy	external	47
Science	Sports	link	44
Philosophy	Chemistry	other	57
other-search	Literature	external	40
other-external	Mathematics	link	44
other-external	Literature	link	49
Art	United_States	external	43
Technology	English_language	external	51
other-empty	Sports	other	44
Main_Page	History	link	70
Science	Music	other	51
History	Earth	external	49
Sports	Science	external	48
Science	English_language	other	44
Technology	History	external	49
World_War_II	History	external	46
Music	Geography	link	54
Earth	Chemistry	external	53
other-empty	Mathematics	other	52
Art	Sports	external	57
English_language	Music	other	52
Wikipedia	Technology	link	49
United_States	Sports	external	65
Earth	Physics	other	50
Earth	Music	other	45
Music	Literature	external	47
other-empty	Sports	link	70
Science	Main_Page	other	54
History	History	external	54
Wikipedia	History	link	58
Mathematics	World_War_II	other	44
other-internal	Geography	other	37
other-empty	Art	other	52
other-empty	Music	external	59
Science	Technology	external	42
Wikipedia	Sports	link	49
Chemistry	Wikipedia	other	40
Science	Mathematics	external	51
Physics	Chemistry	external	47
Technology	Art	link	53
Biology	Religion	link	36
Mathematics	Science	link	41
United_States	Main_Page	link	40
Art	Art	link	50
Literature	Main_Page	link	37
Chemistry	Literature	other	38
Wikipedia	Literature	external	40
English_language	Earth	other	43
Wikipedia	Technology	link	38
Technology	Geography	external	41
other-empty	Wikipedia	external	42
Chemistry	Science	link	47
Philosophy	History	external	54
Science	Science	link	43
Technology	Geography	link	57
Music	Sports	other	52
Geography	Sports	link	43
other-search	Wikipedia	other	60
Wikipedia	Biology	external	40
Science	United_States	link	55
English_language	Religion	other	59
Technology	Geography	link	45
Religion	History	link	47
Art	Chemistry	external	63
Chemistry	World_War_II	other	57
Religion	Religion	other	46
Literature	Sports	link	56
Main_Page	United_States	link	51
Technology	English_language	external	44
Technology	Technology	external	65
Philosophy	United_States	link	60
Physics	Chemistry	external	49
Music	Chemistry	other	53
Music	Wikipedia	other	45
Wikipedia	Religion	external	63
Technology	Earth	external	61
Mathematics	Wikipedia	external	55
Biology	English_language	external	47
Geography	Physics	link	50
English_language	Biology	external	50
other-empty	Philosophy	link	41
other-empty	Technology	other	63
Technology	Sports	link	46
English_language	Religion	link	50
Philosophy	World_War_II	other	48
other-empty	Literature	external	40
History	English_language	other	49
Religion	Technology	external	45
World_War_II	Religion	link	52
History	Music	external	52
Sports	Philosophy	other	41
Science	Mathematics	external	49
Art	English_language	link	54
Chemistry	Main_Page	other	57
Earth	Biology	external	49
Art	Religion	other	56
other-external	Mathematics	external	54
Earth	Science	other	48
United_States	History	link	41
Music	Sports	external	46
Chemistry	Chemistry	link	49
Science	Main_Page	external	50
Religion	Biology	other	47
English_language	United_States	other	36
History	Physics	external	54
other-empty	Technology	link	58
Mathematics	Geography	link	48
Chemistry	Biology	link	48
Biology	English_language	link	50
other-external	Music	other	50
Music	Geography	other	40
Chemistry	Biology	other	45
Geography	Chemistry	other	48
Religion	History	external	51
Sports	Technology	external	49
other-empty	Earth	external	51
Sports	Geography	link	51
Physics	English_language	link	57
Earth	Geography	link	60
Chemistry	Religion	external	37
Music	Earth	link	48
United_States	English_language	external	52
other-internal	Biology	external	47
other-internal	Geography	link	37
United_States	Mathematics	link	61
World_War_II	History	other	49
Chemistry	Main_Page	external	56
World_War_II	Earth	link	52
Sports	Physics	other	49
Main_Page	Main_Page	external	46
other-search	Main_Page	link	54
Religion	History	other	45
Science	Science	external	52
Physics	Science	external	41
Earth	Philosophy	other	45
other-search	Literature	other	46
Physics	Music	other	60
Technology	Music	other	67
other-external	Mathematics	other	52
World_War_II	Technology	external	55
Religion	Technology	external	40
United_States	Music	external	57
United_States	Science	other	50
Biology	Physics	external	49
Philosophy	United_States	other	57
History	World_War_II	link	64
Mathematics	Science	link	54
Philosophy	History	external	51
Mathematics	Mathematics	link	49
English_language	History	link	41
other-empty	History	link	42
other-external	Music	other	36
other-external	World_War_II	other	60
United_States	Science	external	51
other-empty	Mathematics	link	41
Mathematics	Religion	other	44
Philosophy	United_States	other	46
other-empty	Wikipedia	external	64
Chemistry	Biology	link	51
Music	History	external	47
Main_Page	Literature	other	48
Main_Page	Music	external	45
World_War_II	Technology	other	61
Technology	United_States	other	45
English_language	Mathematics	external	60
World_War_II	Technology	other	39
Literature	Chemistry	other	35
Wikipedia	Science	external	43
Earth	Science	link	43
History	Literature	link	54
United_States	Science	other	49
History	World_War_II	link	54
Philosophy	Main_Page	external	44
Art	Main_Page	link	42
Science	Main_Page	other	51
other-search	Sports	link	54
Mathematics	Philosophy	other	57
Earth	History	other	48
other-internal	Religion	other	54
other-internal	Earth	external	41
Chemistry	United_States	other	60
other-empty	Wikipedia	link	59
Music	Science	external	52
Biology	Literature	link	51
Wikipedia	Philosophy	external	58
Mathematics	Main_Page	external	54
Art	Chemistry	external	56
Physics	Biology	link	52
Sports	History	other	46
other-external	Biology	external	55
Literature	Literature	link	62
Technology	Literature	link	60
Religion	Religion	link	68
Science	World_War_II	other	43
other-search	Earth	external	51
Art	English_language	other	49
Physics	Mathematics	external	49
Wikipedia	Biology	external	52
Physics	Biology	link	45
other-empty	Physics	other	56
Chemistry	Chemistry	other	54
Science	Sports	link	47
Physics	English_language	external	53
Technology	World_War_II	link	56
Literature	Philosophy	external	53
Main_Page	English_language	link	40
Literature	Music	other	57
Earth	Physics	other	57
Philosophy	Biology	external	62
Religion	Chemistry	link	49
World_War_II	Philosophy	other	43
World_War_II	Earth	link	48
Philosophy	Wikipedia	other	49
Music	History	other	50
other-search	Philosophy	link	39
Geography	Sports	other	40
English_language	Wikipedia	external	51
History	Geography	external	47
World_War_II	Literature	other	39
other-search	Geography	other	55
Philosophy	Geography	external	58
Geography	United_States	external	63
Technology	Geography	external	58
United_States	Technology	external	37
other-internal	Mathematics	external	56
Science	Wikipedia	other	60
other-external	Technology	link	47
Earth	Philosophy	link	53
Chemistry	Philosophy	link	55
Technology	History	link	53
other-search	Main_Page	external	60
Physics	Wikipedia	external	56
History	Sports	link	57
Chemistry	English_language	other	41
Literature	History	other	50
other-empty	Art	external	49
Science	Chemistry	external	51
other-search	Geography	external	54
Mathematics	Literature	other	53
English_language	Main_Page	link	55
Wikipedia	Earth	external	49
Mathematics	Mathematics	external	54
other-external	Main_Page	external	47
United_States	Physics	link	47
English_language	Literature	link	50
Art	Chemistry	other	55
Music	Geography	link	53
United_States	Wikipedia	link	42
Mathematics	Earth	external	45
other-external	Sports	link	63
Main_Page	United_States	other	56
Geography	Literature	external	47
other-empty	Mathematics	other	48
other-empty	Literature	other	42
Philosophy	Wikipedia	link	57
World_War_II	Religion	other	41
Physics	Religion	link	50
Literature	Art	external	44
United_States	Biology	external	53
Literature	Earth	external	49
Literature	English_language	other	56
Physics	Music	external	53
English_language	Main_Page	external	49
English_language	Art	other	48
Religion	United_States	link	62
Mathematics	Earth	external	56
other-empty	Philosophy	external	53
Sports	Sports	other	47
Science	Philosophy	external	44
Earth	World_War_II	link	45
Wikipedia	History	link	50
Geography	Literature	link	59
Physics	United_States	external	55
Music	Philosophy	other	53
Sports	Science	external	51
Religion	Literature	external	59
English_language	History	other	63
other-external	Technology	link	47
Main_Page	Earth	external	52
Sports	Physics	external	49
Literature	History	external	53
Main_Page	Wikipedia	link	56
Literature	Philosophy	link	51
Biology	Art	other	56
Wikipedia	Music	external	53
Geography	Sports	external	51
Literature	World_War_II	link	40
Literature	English_language	other	34
Wikipedia	Art	other	57
Earth	Wikipedia	link	46
Biology	Wikipedia	other	56
other-search	Sports	external	54
Music	Chemistry	other	33
Science	Art	link	56
Literature	Science	external	47
Art	History	link	52
other-internal	History	other	56
Biology	Wikipedia	other	48
Chemistry	World_War_II	link	37
other-search	Biology	external	43
Earth	World_War_II	other	43
United_States	Geography	link	51
Science	History	link	49
Earth	Literature	other	58
Sports	Earth	other	45
World_War_II	Art	external	51
Mathematics	Literature	other	40
Music	Physics	other	61
other-empty	United_States	other	56
Physics	Philosophy	external	37
Sports	Mathematics	link	54
other-empty	United_States	external	66
other-external	Religion	link	44
Wikipedia	United_States	other	40
Art	Art	other	72
other-search	Physics	external	51
other-internal	Earth	other	59
Physics	History	external	53
World_War_II	Physics	external	56
Biology	United_States	other	55
Philosophy	Geography	link	41
Wikipedia	Music	link	58
Technology	Technology	external	61
Geography	History	link	55
Geography	Earth	other	45
Music	Science	other	56
Music	Art	other	43
Physics	World_War_II	external	51
other-search	Geography	other	44
World_War_II	Chemistry	other	50
other-internal	Philosophy	other	52
History	Main_Page	external	37
English_language	History	other	47
other-search	Art	link	46
Mathematics	Philosophy	link	46
other-empty	Music	external	48
Geography	Sports	link	46
Literature	Main_Page	other	56
Wikipedia	Literature	external	53
History	Literature	link	38
Literature	Religion	other	46
Earth	Physics	link	66
Earth	Religion	other	43
Geography	Earth	external	50
Technology	Science	link	46
other-empty	Technology	link	61
Wikipedia	English_language	other	49
Art	Technology	external	47
World_War_II	Philosophy	external	50
Religion	Technology	external	35
Technology	Mathematics	external	50
Main_Page	Geography	link	56
Sports	Main_Page	other	46
United_States	Technology	link	37
Geography	Wikipedia	external	48
Physics	World_War_II	link	58
World_War_II	Physics	external	41
Philosophy	Music	other	59
Technology	History	external	60
Science	Physics	other	60
other-external	World_War_II	other	53
Main_Page	Philosophy	external	45
Art	Chemistry	external	52
other-search	Main_Page	other	45
other-empty	Technology	external	50
Wikipedia	History	link	44
Art	Philosophy	link	54
English_language	Earth	other	49
Art	Technology	other	53
other-empty	World_War_II	link	59
Literature	Art	link	46
Main_Page	History	other	63
other-external	Earth	external	50
other-search	Wikipedia	link	48
Geography	Sports	external	43
Main_Page	Wikipedia	link	49
Main_Page	United_States	link	49
Chemistry	Geography	other	56
United_States	Music	link	52
History	History	link	47
Literature	Wikipedia	link	62
Technology	Science	other	47
Philosophy	Music	other	55
other-internal	Mathematics	external	56
Mathematics	Main_Page	external	46
Philosophy	Religion	link	55
Biology	Philosophy	other	54
Earth	English_language	link	56
English_language	Main_Page	other	56
Technology	Music	external	42
Sports	Main_Page	other	65
Geography	Mathematics	external	52
World_War_II	Geography	other	63
other-search	Earth	other	59
other-external	Sports	other	45
Literature	Chemistry	other	54
Chemistry	Physics	link	52
Sports	Mathematics	external	43
Science	Geography	external	50
other-external	Sports	other	55
United_States	Physics	link	45
Science	English_language	external	46
Religion	World_War_II	link	50
Art	Wikipedia	link	49
Literature	Technology	other	57
Wikipedia	World_War_II	link	65
other-empty	History	link	60
Wikipedia	Biology	other	24
other-search	Wikipedia	external	60
English_language	Physics	other	56
Geography	Science	external	53
Art	Wikipedia	link	49
Philosophy	Religion	link	54
other-internal	Sports	other	39
United_States	English_language	other	45
Sports	Religion	external	42
Main_Page	Geography	external	42
Technology	Religion	other	45
Earth	Sports	other	51
History	Literature	external	39
Literature	History	external	47
Literature	Philosophy	other	55
Literature	Geography	other	47
Physics	Earth	other	53
World_War_II	Wikipedia	link	40
Biology	Wikipedia	link	46
Geography	Sports	link	53
Music	Technology	external	49
United_States	Mathematics	other	48
Technology	Mathematics	other	46
Geography	Music	external	59
Art	History	external	55
Philosophy	World_War_II	link	54
Earth	Geography	external	54
United_States	Music	external	51
Chemistry	English_language	other	54
English_language	Sports	other	35
History	Main_Page	external	48
Biology	Earth	other	51
Main_Page	Literature	other	46
other-external	Biology	other	45
Art	Biology	external	35
Main_Page	Philosophy	other	41
Chemistry	Religion	link	61
Philosophy	History	other	48
Geography	Geography	link	54
Sports	Biology	link	52
Physics	Wikipedia	external	46
Mathematics	Physics	link	54
Biology	Chemistry	external	51
Biology	History	other	56
English_language	Literature	link	47
other-empty	Philosophy	external	43
Literature	Physics	link	48
Sports	Music	link	48
Philosophy	Music	external	47
Chemistry	World_War_II	other	46
Music	Philosophy	external	47
Physics	Technology	link	42
Art	Earth	link	42
other-empty	Main_Page	external	55
United_States	Philosophy	external	52
Main_Page	Chemistry	other	44
Earth	Literature	external	52
Geography	Philosophy	external	50
Physics	Geography	other	50
other-search	Music	link	50
Chemistry	Earth	link	56
Chemistry	Science	external	65
Mathematics	Art	other	47
History	Geography	link	51
Sports	Mathematics	link	58
Art	Music	link	62
Literature	Sports	link	63
Chemistry	Physics	external	50
Sports	United_States	link	42
Science	Physics	external	55
United_States	Art	other	52
other-internal	Sports	external	50
History	Chemistry	other	57
Wikipedia	English_language	external	43
Wikipedia	Religion	external	43
Technology	History	other	69
Sports	Philosophy	other	49
Art	Earth	link	49
Sports	English_language	other	53
other-internal	Technology	other	44
other-internal	Physics	link	45
Philosophy	Sports	external	36
Art	Chemistry	link	57
Geography	Biology	external	54
Art	Philosophy	link	42
Art	Art	external	46
Geography	Mathematics	other	64
World_War_II	Wikipedia	link	48
other-search	Technology	other	61
Mathematics	Physics	other	63
Biology	Philosophy	link	40
Chemistry	Sports	link	50
other-search	English_language	external	50
Wikipedia	Science	other	43
United_States	Literature	other	49
Sports	Physics	link	37
World_War_II	Biology	external	55
Art	World_War_II	link	40
Music	Technology	external	41
Art	Religion	external	45
United_States	Earth	external	51
Technology	Technology	other	56
Earth	English_language	link	57
Philosophy	Earth	other	48
Earth	Main_Page	external	45
other-search	English_language	external	46
Earth	Geography	other	46
other-search	History	external	41
Philosophy	Chemistry	external	51
Philosophy	Earth	link	39
Earth	Physics	external	48
other-external	Science	external	49
Geography	World_War_II	external	46
United_States	Geography	other	52
Wikipedia	Music	link	48
English_language	United_States	link	41
Sports	Art	external	39
Philosophy	Literature	other	44
Main_Page	Sports	other	65
Physics	Physics	external	59
Philosophy	Religion	other	48
other-empty	History	external	59
Physics	History	link	54
History	Earth	link	50
Chemistry	Philosophy	external	52
Art	World_War_II	other	48
Religion	Earth	external	48
Technology	English_language	link	59
Technology	Mathematics	link	53
other-internal	Physics	link	51
other-external	Technology	other	49
Physics	Literature	other	56
Physics	Religion	external	42
Philosophy	Music	other	58
Literature	Music	other	66
Wikipedia	English_language	external	42
Music	Main_Page	other	52
Sports	Philosophy	external	43
other-search	World_War_II	external	46
Chemistry	Geography	external	63
Main_Page	United_States	other	58
Philosophy	Technology	external	55
Physics	Chemistry	external	54
Main_Page	Earth	external	67
Literature	Art	link	43
Sports	United_States	other	63
English_language	Sports	external	49
other-internal	Sports	link	45
Wikipedia	Wikipedia	other	52
other-internal	United_States	external	58
Wikipedia	Chemistry	other	66
United_States	Literature	link	50
Earth	Wikipedia	link	47
Literature	History	external	51
other-internal	World_War_II	link	45
Technology	Music	other	40
Physics	History	external	50
Main_Page	Art	link	54
English_language	Philosophy	other	56
English_language	United_States	link	45
Philosophy	English_language	external	56
Technology	Science	external	53
History	Literature	link	57
Mathematics	Mathematics	other	53
Physics	United_States	link	55
Literature	Music	link	44
Chemistry	Physics	link	47
Music	United_States	external	47
